N	2gram	Losev_Vlad_3	Formalny
1	и в	40	38
2	в этом	16	27
3	может быть	8	23
4	и его	10	21
5	таким образом	11	20
6	и не	25	20
7	в самом	4	16
8	не в	3	15
9	прежде всего	10	15
10	не может	14	14
11	в нем	3	13
12	связи с	2	13
13	но и	18	13
14	с его	2	11
15	с тем	7	11
16	в том	18	11
17	вовсе не	13	11
18	в его	14	10
19	в связи	3	10
20	не только	25	9
21	при этом	3	9
22	и с	9	9
23	как и	7	9
24	на почве	2	9
25	в процессе	1	9
26	самом деле	1	8
27	отнюдь не	5	8
28	все же	4	8
29	точки зрения	13	8
30	так и	6	8
31	что и	7	8
32	тем что	5	8
33	как мы	8	7
34	в корне	1	7
35	лишь в	1	7
36	по себе	6	7
37	для него	8	7
38	в своей	9	7
39	с точки	6	7
40	язык и	1	7
41	уже не	9	7
42	этом отношении	2	7
43	не могут	2	7
44	по существу	4	7
45	слова и	1	7
46	что в	17	7
47	в ней	5	6
48	в истории	5	6
49	все эти	5	6
50	в этой	8	6
51	то же	4	6
52	было бы	4	6
53	он не	8	6
54	в их	2	6
55	для понимания	2	6
56	только в	13	6
57	то что	28	6
58	не было	5	6
59	вместе с	7	6
60	а не	8	6
61	как раз	10	6
62	в результате	4	6
63	хотя бы	6	6
64	а в	7	6
65	это и	1	5
66	по преимуществу	2	5
67	должна быть	2	5
68	всего этого	1	5
69	во всех	1	5
70	в общем	1	5
71	в то	7	5
72	в основе	1	5
73	же время	2	5
74	если бы	3	5
75	сводится к	3	5
76	и должно	1	5
77	и только	3	5
78	говорит в	3	5
79	что он	5	5
80	всяком случае	3	5
81	если мы	4	5
82	и речи	2	5
83	именно в	3	5
84	с этим	2	5
85	что же	9	5
86	и для	3	5
87	бы в	2	5
88	еще более	1	5
89	во всяком	3	5
90	здесь и	2	4
91	в сущности	2	4
92	в сторону	2	4
93	что они	1	4
94	независимо от	3	4
95	как в	1	4
96	и наконец	2	4
97	и к	2	4
98	как таковое	1	4
99	в статье	1	4
100	не как	2	4
101	его от	1	4
102	мы видели	3	4
103	не столько	3	4
104	раз и	8	4
105	ничего не	5	4
106	к тому	7	4
107	здесь не	3	4
108	в дальнейшем	4	4
109	каждый элемент	1	4
110	в теории	2	4
111	но в	4	4
112	и теперь	1	4
113	из них	2	4
114	так как	7	4
115	не о	2	4
116	даже и	12	4
117	и даже	6	4
118	в некоторых	1	4
119	другой стороны	2	4
120	мы говорим	1	4
121	как бы	3	4
122	совершенно не	2	4
123	оно не	3	4
124	к этому	2	4
125	они не	1	4
126	например в	1	3
127	же как	3	3
128	сам по	2	3
129	мы не	2	3
130	то это	10	3
131	и на	6	3
132	если в	1	3
133	хотя и	7	3
134	и как	7	3
135	от этого	2	3
136	что это	9	3
