N	2gram	Tiupa_Lite_1	Mirosoze
1	и в	8	46
2	у достоевского	2	34
3	в нем	2	22
4	у него	3	22
5	может быть	13	21
6	в этом	12	20
7	не только	24	18
8	и не	12	18
9	никогда не	4	18
10	для него	2	18
11	есть лишь	1	17
12	во имя	2	16
13	но и	17	15
14	не может	5	15
15	человека в	1	14
16	как и	6	13
17	ведет к	4	13
18	а не	16	13
19	не есть	2	13
20	друг друга	4	12
21	прежде всего	11	12
22	потому что	3	12
23	и он	1	11
24	не было	3	11
25	но в	3	10
26	та же	2	10
27	в себе	7	10
28	он не	1	10
29	он был	1	9
30	не в	8	9
31	не знает	1	9
32	и есть	3	8
33	отношение к	1	8
34	в своем	11	8
35	так как	1	8
36	она не	1	8
37	как бы	7	8
38	человека и	2	7
39	в мире	2	7
40	как в	5	7
41	в нашем	1	7
42	в этой	4	7
43	человеческой личности	1	7
44	хотя бы	2	7
45	что он	5	7
46	вопрос о	1	6
47	в русской	10	6
48	он сам	1	6
49	и здесь	1	6
50	во власти	1	6
51	того что	6	6
52	жизни и	3	6
53	по преимуществу	4	5
54	то же	5	5
55	есть не	1	5
56	я не	7	5
57	в самом	3	5
58	и вот	1	5
59	в своей	4	5
60	в отношении	1	5
61	в конце	4	5
62	и его	4	5
63	к тому	2	5
64	это не	4	5
65	один из	3	5
66	любовь есть	1	5
67	человеческого духа	2	5
68	в его	7	5
69	то что	10	5
70	тот кто	1	5
71	и все	1	5
72	также и	3	4
73	жизни это	1	4
74	с его	5	4
75	у них	1	4
76	его на	1	4
77	в жизни	6	4
78	человек который	1	4
79	том что	14	4
80	не имеет	1	4
81	перед ним	1	4
82	должен быть	2	4
83	так и	4	4
84	на путь	1	4
85	для этого	4	4
86	себя в	6	4
87	уже не	7	4
88	что и	1	4
89	в свою	1	4
90	они не	1	4
91	до конца	1	4
92	самого себя	3	4
93	со свободой	1	4
94	что в	3	4
95	все что	1	4
96	же как	1	3
97	чтобы не	2	3
98	к другому	1	3
99	той же	3	3
100	и самого	2	3
101	и на	1	3
102	в чем	1	3
103	в сне	1	3
104	духа и	1	3
105	он в	1	3
106	как он	2	3
107	идеи и	1	3
108	в россии	2	3
109	не бывает	1	3
110	в каждом	1	3
111	и с	1	3
112	его в	3	3
113	с самим	1	3
114	на почве	2	3
115	в них	1	3
116	он же	1	3
117	всю жизнь	1	3
118	не мог	3	3
119	не для	1	3
120	и всегда	1	3
121	по своей	3	3
122	только с	1	3
123	достоевским в	1	3
124	себя и	1	3
125	если бы	1	3
126	о том	2	3
127	и во	1	3
128	что они	1	3
129	к которой	1	3
130	в том	16	3
131	только в	8	3
132	не так	1	3
133	тем что	2	3
134	до сих	1	3
