1	до сих пор	5	9
2	в том что	14	9
3	для того чтобы	19	6
4	в самом деле	5	6
5	в свою очередь	1	6
6	о том что	6	4
7	с самого начала	3	4
8	и т п	3	3
9	с точки зрения	2	3
10	то же самое	3	3
11	вместе с тем	3	3
12	речь идет о	1	3
13	до тех пор	2	3
14	с одной стороны	12	3
15	и в самом	2	3
16	по отношению к	1	3
17	что он не	1	2
18	по отношению ко	1	2
19	с другой стороны	5	2
20	по сравнению с	4	2
21	то обстоятельство что	1	2
22	в конечном счете	1	2
23	то время как	1	2
24	в этом случае	2	2
25	в этом отношении	3	2
26	именно потому что	2	2
27	в то время	1	2
28	состоит в том	2	2
29	в конце концов	2	2
30	хотя бы по	1	2
31	но вместе с	1	1
32	он был бы	1	1
33	том что она	1	1
34	того чтобы показать	1	1
35	и в частности	1	1
36	друг с другом	3	1
37	и несмотря на	1	1
38	и для нас	2	1
39	этой точки зрения	1	1
40	и в его	1	1
41	в течение всей	1	1
42	и тем более	1	1
43	больше чем в	1	1
44	одной стороны и	1	1
45	ли не самым	1	1
46	после того как	1	1
47	то что он	3	1
48	пьесы и что	1	1
49	несмотря на то	1	1
50	все что угодно	1	1
51	как это не	1	1
52	в основе своей	1	1
53	по тому же	1	1
54	и в свою	1	1
55	зависимости от того	2	1
56	если бы исследователи	1	1
57	по этому поводу	4	1
58	к себе и	1	1
59	друг от друга	2	1
60	именно об этом	1	1
61	мы едва ли	1	1
62	на первый план	2	1
63	в том чтобы	2	1
64	едва ли не	1	1
65	в зависимости от	6	1
66	является едва ли	1	1
67	и почему он	1	1
68	на этом вопросе	1	1
69	в частности на	1	1
70	так же точно	5	1
71	потому что он	2	1
72	что у него	1	1
73	к тому что	6	1
74	для нас важно	1	1
75	в отличие от	2	1
76	и т д	3	1
77	с этой точки	1	1
78	в трагедии и	1	1
79	с тем как	1	1
80	ничего общего с	1	1
81	равно как и	1	1
82	и в остальных	1	1
83	более или менее	1	1
84	и не дает	1	1
85	он должен быть	1	1
86	мы можем теперь	1	1
87	это может служить	1	1
88	не в состоянии	3	1
89	и для этого	1	1
90	как бы в	2	1
91	совсем другой смысл	1	1
92	одной стороны он	1	1
93	так как все	1	1
94	можно сказать что	2	1
95	на одном из	1	1
96	сих пор не	1	1
97	стало ясно что	1	1
98	вопрос о том	2	1
99	взад и вперед	1	1
100	что она любит	1	1
101	в ответ на	1	1
102	в силу своих	1	1
103	таким образом что	3	1
104	по крайней мере	1	1
105	на то что	16	1
106	таким образом для	1	1
107	чуть ли не	1	1
108	сам не знает	1	1
109	и в этом	1	1
110	чтобы понять как	1	1
111	к ней и	1	1
112	мы имеем в	1	1
113	одной стороны мы	1	1
