N	2gram	Berdyaev_V_1	IolandNe
1	и с	1	3
2	и не	20	2
3	в этом	4	2
4	что в	3	2
5	самого себя	2	2
6	ничего не	1	2
7	все это	5	1
8	и в	16	1
9	я не	1	1
10	то и	1	1
11	бы в	1	1
12	более чем	2	1
13	было не	1	1
14	с другой	1	1
15	человеке и	1	1
16	а в	2	1
17	к нам	2	1
18	того что	5	1
19	в руки	1	1
20	на котором	1	1
21	а с	2	1
22	другой стороны	1	1
23	не так	2	1
24	для него	2	1
25	говорить о	4	1
26	и сам	2	1
27	ненависть к	1	1
28	так и	4	1
29	от этого	3	1
30	того чтобы	2	1
31	имя отца	1	1
32	ушел от	1	1
33	не случайно	1	1
34	никогда не	3	1
35	его личности	1	1
36	жизни и	3	1
37	и очень	1	1
38	бы все	1	1
39	тем что	2	1
40	в целом	1	1
41	в них	3	1
42	все эти	3	1
43	для того	1	1
