N	3gram	Bakhtin_Fr_5	Tragedij
1	то же время	9	5
2	в то же	9	5
3	так и в	1	3
4	в отличие от	2	2
5	это очень важно	2	2
6	и в частности	1	2
7	в данном случае	2	2
8	но в то	5	2
9	в году в	1	2
10	о том что	1	2
11	и в самом	1	2
12	в том что	6	2
13	ко всему что	1	1
14	не только о	1	1
15	и всегда будет	1	1
16	и до конца	1	1
17	же время он	1	1
18	в своей книге	1	1
19	что он не	1	1
20	своего отца и	1	1
21	в известной мере	2	1
22	в чем же	2	1
23	тем не менее	1	1
24	начала и до	1	1
25	в связи с	5	1
26	не может быть	2	1
27	все эти образы	2	1
28	как и все	1	1
29	свою жизнь и	1	1
30	в самом деле	1	1
31	как своего рода	1	1
32	с начала и	1	1
33	после того как	1	1
34	это не просто	1	1
35	как и в	1	1
36	xii и xiii	2	1
