N	2gram	Medvedev_S_1	Komedia
1	и в	3	22
2	том что	2	12
3	но и	2	11
4	в том	5	11
5	не только	3	10
6	в то	1	10
7	как и	1	9
8	может быть	2	9
9	таким образом	2	8
10	о том	1	8
11	и его	1	8
12	и не	1	8
13	в этой	1	7
14	то же	2	6
15	и по	1	6
16	не в	3	6
17	в конце	2	6
18	что он	1	6
19	а в	1	6
20	что в	2	6
21	так и	1	5
22	между тем	1	5
23	один из	1	5
24	в его	3	5
25	прежде всего	1	5
26	с другой	1	5
27	все это	7	5
28	в котором	1	4
29	же время	1	4
30	ли не	1	4
31	тем что	1	4
32	именно в	1	4
33	в результате	2	4
34	конце концов	2	4
35	мы не	1	3
36	и о	1	3
37	в чем	1	3
38	с одной	1	3
39	в этом	5	3
40	все же	1	3
41	и как	1	3
42	в целом	1	3
43	главным образом	2	3
44	его в	1	3
45	в них	1	3
46	на основании	1	3
47	место в	1	3
48	даже в	1	3
49	по отношению	2	3
50	ничего не	1	3
51	в частности	2	3
52	только в	2	3
53	в виде	1	3
54	у него	1	3
55	в свои	1	3
56	к которому	2	3
57	одной стороны	1	3
58	отношению к	2	3
59	в сущности	1	2
60	столь же	1	2
61	за пределы	2	2
62	право на	1	2
63	в силу	1	2
64	на все	1	2
65	было бы	2	2
66	всяком случае	1	2
67	как будто	2	2
68	в области	1	2
69	же самое	1	2
70	стр и	1	2
71	для этого	1	2
72	образом в	1	2
73	еще не	2	2
74	именно на	1	2
75	вовсе не	1	2
76	даже не	1	2
77	еще и	1	2
78	не может	1	2
79	но не	1	2
80	то что	2	2
81	во всяком	1	2
82	а между	1	1
83	тем же	1	1
84	и основательно	1	1
85	в мире	1	1
86	подняться на	1	1
87	работы в	1	1
88	сказать и	1	1
89	слишком много	1	1
90	очевидно что	2	1
91	нам право	1	1
92	отнюдь не	1	1
93	дает нам	1	1
94	что это	1	1
95	чуть ли	1	1
96	что эти	1	1
97	идей и	2	1
98	по существу	2	1
99	систему его	1	1
100	что она	1	1
101	что все	1	1
102	же не	1	1
103	свойств и	1	1
104	этот основной	1	1
105	перед нами	1	1
106	а с	1	1
107	и связывается	1	1
108	в этих	1	1
109	стало быть	1	1
110	и более	1	1
111	по себе	1	1
112	тому что	1	1
113	этой области	1	1
114	что на	1	1
115	вот в	1	1
116	в каждом	1	1
117	от друга	1	1
118	те же	1	1
119	это вовсе	1	1
120	с ним	1	1
121	и что	2	1
122	жизни он	1	1
123	и только	3	1
124	наконец в	1	1
125	всего не	1	1
126	хотя бы	1	1
127	наше время	1	1
128	не дает	1	1
129	активным образом	1	1
130	представить себе	1	1
131	может служить	1	1
132	друг от	1	1
133	не один	1	1
134	на этот	1	1
135	далеко не	2	1
136	и потому	1	1
137	в данном	1	1
138	как бы	2	1
139	или нет	1	1
140	бы в	1	1
141	самым активным	1	1
142	на следующий	1	1
143	развития и	1	1
144	они не	1	1
