N	2gram	Trubetskoy_1	VrazhdaK
1	не только	9	9
2	в этом	17	8
3	и в	14	8
4	и что	2	8
5	но и	10	7
6	и все	1	7
7	то что	13	7
8	что в	4	7
9	все же	4	6
10	но в	2	6
11	в нем	5	6
12	как и	4	6
13	в котором	2	6
14	и с	7	6
15	в начале	2	6
16	и даже	2	6
17	то же	11	5
18	об этом	1	5
19	в то	10	5
20	же время	10	5
21	между тем	5	5
22	у него	2	5
23	не было	3	5
24	в россии	6	5
25	и не	19	5
26	в ней	2	4
27	что он	6	4
28	в истории	1	4
29	целый ряд	2	4
30	в россию	2	4
31	при этом	5	4
32	это не	1	4
33	несмотря на	3	4
34	все это	6	4
35	с ним	2	4
36	о том	7	4
37	для нас	2	4
38	может быть	9	4
39	как бы	4	4
40	в своих	6	4
41	так же	2	4
42	речь идет	2	3
43	что князь	1	3
44	он был	1	3
45	к творчеству	1	3
46	в своем	6	3
47	и как	3	3
48	на то	5	3
49	его в	4	3
50	он не	5	3
51	том что	9	3
52	связи с	3	3
53	по нашему	1	3
54	человека в	1	3
55	и о	2	3
56	что у	1	3
57	и во	3	3
58	в его	4	3
59	в том	17	3
60	и у	1	3
61	чтобы он	1	3
62	в конце	3	3
63	тем что	3	3
64	в связи	1	3
65	в те	1	3
66	о себе	1	3
67	к этому	1	3
68	отношения к	2	2
69	же как	1	2
70	и то	4	2
71	на место	1	2
72	он сам	3	2
73	столь же	1	2
74	но как	1	2
75	тогда как	2	2
76	человека с	1	2
77	отнюдь не	7	2
78	за границей	1	2
79	в этой	4	2
80	что к	1	2
81	в себе	9	2
82	время и	1	2
83	о которой	1	2
84	их в	2	2
85	таким образом	11	2
86	в одну	1	2
87	в мире	4	2
88	об этой	1	2
89	в глазах	2	2
90	этот человек	2	2
91	а с	2	2
92	мы знаем	1	2
93	на первый	1	2
94	во время	2	2
95	точки зрения	11	2
96	в своей	5	2
97	с точки	9	2
98	место в	2	2
99	не менее	1	2
100	том же	2	2
101	одна из	3	2
102	никогда не	5	2
103	европейская цивилизация	1	2
104	к себе	2	2
105	на это	2	2
106	и это	1	2
107	россии в	7	2
108	еще не	3	2
109	тем более	1	2
110	с нею	3	2
111	уже не	2	2
112	из них	3	2
113	его и	2	2
114	для него	6	2
115	к ним	1	2
116	как же	1	2
117	и стал	1	2
118	с которым	1	2
119	не может	22	2
120	вместе с	4	2
121	но это	2	2
122	а в	5	2
123	в свою	1	2
