N	3gram	Nazirov_Vr_1	Istorich
1	с другой стороны	1	8
2	о том что	1	5
3	так же как	1	4
4	на первый взгляд	1	4
5	что у него	1	4
6	тем не менее	1	4
7	в том что	2	4
8	в ответ на	1	3
9	не может быть	2	3
10	между прочим и	1	2
11	точно так же	1	2
12	но это не	1	2
13	до сих пор	1	2
14	в то время	1	2
15	не все ясно	1	2
16	на свое место	1	2
17	о том как	1	1
18	еще один пример	1	1
19	он вспоминает о	1	1
20	с точки зрения	2	1
21	что они не	1	1
22	он не только	2	1
23	с тех пор	1	1
24	независимо от того	1	1
25	не имеет никаких	1	1
26	и что в	2	1
27	в свете этой	1	1
28	и что он	1	1
29	все же не	1	1
30	в связи с	3	1
31	почему этого не	1	1
