N	2gram	Medvedev_V_1	Myshleni
1	речи и	1	28
2	в том	2	24
3	и в	2	23
4	том что	2	21
5	в этом	1	17
6	и не	1	9
7	то же	1	8
8	в самом	1	7
9	в другом	1	7
10	так как	1	7
11	все это	1	6
12	столь же	1	6
13	и его	1	6
14	другом месте	1	6
15	все время	1	6
16	только в	1	6
17	именно в	1	6
18	потому что	1	6
19	и т.д	1	5
20	тем более	1	5
21	в теории	1	4
22	по существу	1	4
23	хотя бы	1	4
24	к этому	1	4
25	и то	1	3
26	самом деле	1	3
27	я не	1	3
28	в их	1	3
29	в которых	1	3
30	чем к	1	2
31	главным образом	1	2
32	одно и	1	2
33	значительной степени	1	2
34	том же	1	2
35	дело в	1	2
36	в конце	2	2
37	ясно что	1	2
38	в значительной	1	2
39	более к	1	2
40	под влиянием	1	2
41	в частности	1	2
42	чего не	1	1
43	и заключается	1	1
44	вся работа	1	1
45	по крайней	1	1
46	две большие	1	1
47	одном и	1	1
48	на одном	1	1
49	от других	1	1
50	и составляет	1	1
51	и том	1	1
52	для них	1	1
53	месте по	1	1
54	же с	1	1
55	крайней мере	1	1
56	в книге	3	1
57	конце концов	2	1
58	ни к	1	1
59	все то	1	1
60	по поводу	1	1
61	гораздо более	1	1
