N	3gram	Bakhtin_Pr_1	Poddanst
1	в то же	9	7
2	то же время	9	7
3	в отношении к	1	5
4	не только в	2	4
5	в том что	6	4
6	с точки зрения	13	3
7	сами по себе	3	3
8	и в то	2	2
9	в полной мере	1	2
10	заключается в том	1	2
11	более или менее	1	1
12	в настоящее время	1	1
13	в этом смысле	10	1
14	и в этом	5	1
15	и не может	2	1
16	хотя бы и	2	1
17	и именно в	1	1
18	не было бы	1	1
19	творчества если бы	1	1
20	что дело идет	1	1
21	и в частности	1	1
22	все это в	1	1
23	или иная форма	1	1
24	так же как	1	1
25	там где он	1	1
26	в этом не	1	1
27	в противоречии с	1	1
28	которые были бы	2	1
29	по сравнению с	1	1
30	не только как	1	1
31	не в том	1	1
32	бы оно ни	1	1
33	во всяком случае	3	1
34	в творчестве достоевского	4	1
35	с другой стороны	3	1
36	из тех кто	1	1
37	не может быть	4	1
38	только в россии	1	1
39	само по себе	3	1
40	та или иная	1	1
41	высшая реальность и	1	1
42	но в то	5	1
43	мира а не	1	1
44	именно потому что	2	1
45	в большинстве случаев	2	1
46	как одна из	1	1
47	тем же в	1	1
48	друг с другом	1	1
49	в известном смысле	1	1
50	для того чтобы	1	1
51	в нем в	1	1
52	и т д	1	1
