N	3gram	Medvedev_U_1	Mirosoze
1	не может быть	4	17
2	не было бы	1	5
3	и в этой	2	4
4	с тем что	1	3
5	и в конце	1	2
6	до сих пор	2	2
7	хотя бы и	2	2
8	не только в	1	2
9	в конце концов	2	2
10	не могут быть	2	2
11	а не только	1	2
12	никогда не может	1	2
13	тем что он	1	2
14	для него не	1	1
15	в которой все	1	1
16	имеем в виду	1	1
17	в самом деле	2	1
18	он знает только	1	1
19	но это не	1	1
20	что в своей	1	1
21	и у других	1	1
22	не в том	1	1
23	она все же	1	1
24	одним из самых	1	1
25	мы имеем в	1	1
26	в том что	2	1
