N	3gram	Berdyaev_M_2	Komedia
1	в том что	2	9
2	том что он	1	4
3	в конце концов	1	4
4	по отношению к	2	3
5	в этом отношении	1	3
6	после того как	2	3
7	о том что	2	3
8	но и в	1	2
9	до сих пор	3	2
10	т е в	2	2
11	как и в	2	2
12	на протяжении всего	1	2
13	именно потому что	1	2
14	на то что	1	2
15	того как в	1	2
16	на чьей стороне	1	1
17	том что в	1	1
18	что иное как	3	1
19	подобно тому как	2	1
20	а между тем	1	1
21	же как и	3	1
22	в чем не	2	1
23	а может быть	1	1
24	сам по себе	1	1
25	в значительной степени	1	1
26	так же как	3	1
27	в высшей степени	3	1
28	смысле этого слова	1	1
29	любовь к человеку	6	1
30	в стороне от	1	1
31	не мог бы	1	1
32	ни в чем	2	1
33	что он не	1	1
34	не означает что	1	1
35	но он не	1	1
36	что у него	1	1
37	не что иное	3	1
38	к тому что	3	1
39	в отношении к	2	1
40	не находящая себе	1	1
41	вступили на путь	1	1
42	для того чтобы	4	1
43	так как он	2	1
44	в мире для	1	1
