N	2gram	Savitsky_E_1	SlovoVZh
1	не может	9	16
2	может быть	6	14
3	точки зрения	23	14
4	как бы	6	13
5	и его	1	13
6	таким образом	2	12
7	и в	37	12
8	по отношению	1	11
9	в нашем	1	11
10	и не	14	10
11	если бы	2	9
12	так как	7	9
13	прежде всего	9	8
14	сказать что	4	7
15	для нас	4	7
16	в ней	4	6
17	в том	11	6
18	только в	9	6
19	при этом	1	6
20	в нем	1	6
21	слова и	1	6
22	в процессе	4	6
23	должна быть	2	5
24	то же	15	5
25	можно сказать	4	5
26	отнюдь не	9	5
27	как в	3	5
28	но в	14	5
29	в жизни	1	5
30	а не	2	5
31	как и	7	5
32	что мы	1	5
33	и следовательно	1	5
34	том что	6	5
35	никогда не	3	5
36	хотя бы	15	5
37	то что	6	5
38	мы все	1	4
39	литературы и	1	4
40	к нему	2	4
41	за пределы	1	4
42	в этом	12	4
43	все же	1	4
44	в самом	4	4
45	уже не	1	4
46	не только	18	4
47	ни было	4	4
48	от того	1	4
49	так и	10	4
50	с другой	7	4
51	что не	1	4
52	не в	5	4
53	дело в	3	4
54	и к	3	4
55	жизни и	2	4
56	и на	6	4
57	в котором	2	3
58	в пределах	25	3
59	ведь и	2	3
60	мы не	4	3
61	и вообще	1	3
62	социальной группы	1	3
63	о том	3	3
64	бы то	4	3
65	но и	14	3
66	между тем	8	3
67	точка зрения	2	3
68	того что	7	3
69	быть и	1	3
70	когда он	3	3
71	и наконец	2	3
72	имеет в	2	3
73	и ее	1	3
74	все эти	1	3
75	конечно не	1	3
76	в себе	9	3
77	для него	1	3
78	не к	2	3
79	и по	5	3
80	то ни	4	3
81	и с	2	3
82	в некоторых	2	3
83	в них	3	3
84	в своей	8	3
85	так же	9	3
86	в такой	1	3
87	этой точки	5	3
88	и более	2	3
89	по себе	4	3
90	не менее	1	3
91	и для	3	3
92	ее и	1	3
93	так называемой	1	3
94	с ним	1	3
95	отношении к	15	3
96	в каком	4	3
97	как не	2	2
98	и то	2	2
99	как это	4	2
100	спроса и	1	2
101	но тем	1	2
102	ко всем	1	2
103	те же	1	2
104	по природе	1	2
105	не способен	1	2
106	и та	2	2
107	с его	1	2
108	и что	2	2
109	между собой	2	2
110	оценок и	1	2
111	той социальной	1	2
112	тем как	1	2
113	данном случае	2	2
114	в данном	3	2
115	которые мы	1	2
116	в его	2	2
117	что и	3	2
118	относится к	1	2
119	независимо от	4	2
120	поскольку они	2	2
121	в своем	14	2
122	в формах	1	2
123	кроме того	1	2
124	его к	1	2
125	дело с	1	2
126	в какой	2	2
127	и потому	5	2
128	с одной	8	2
129	рынка и	1	2
130	из общей	1	2
131	уже в	1	2
132	тому же	1	2
133	и те	1	2
134	жизнью и	1	2
135	он не	2	2
136	эта последняя	1	2
137	в корне	1	2
138	к ним	3	2
139	мы можем	3	2
140	но все	1	2
141	социальной средой	1	2
142	на примере	1	2
143	влияние на	2	2
144	с другими	2	2
145	как же	2	2
146	оно не	1	2
147	более того	1	2
148	одной стороны	8	2
149	можем сказать	2	2
150	зависит от	1	2
151	другой стороны	2	2
152	там где	3	2
153	имеет место	2	2
154	связь с	1	2
155	нет ничего	1	2
156	ни на	3	2
157	вместе с	2	2
158	в отношении	32	2
159	но не	5	2
160	место в	3	2
161	с этой	6	2
162	она не	2	2
163	с точки	17	2
164	такой же	2	2
165	тогда когда	2	2
166	в то	16	2
167	и притом	4	2
168	известной степени	3	2
169	а к	1	2
170	и все	2	2
171	в этих	2	2
172	но это	1	2
173	между ними	2	2
174	стороны и	6	2
175	но этот	1	2
176	могут быть	2	2
177	что в	21	2
178	как на	3	2
179	и другие	1	2
180	не есть	2	2
181	так но	1	1
182	и это	1	1
183	ту же	1	1
184	например в	1	1
185	же как	5	1
186	как мы	5	1
187	и о	1	1
188	и художественное	1	1
189	чтобы не	1	1
190	с ее	1	1
191	мы здесь	1	1
192	свою очередь	2	1
193	на основе	2	1
194	нам кажется	7	1
195	то время	1	1
196	по преимуществу	2	1
197	в рамки	1	1
198	с таким	1	1
199	определяется в	1	1
200	можно было	3	1
201	часть его	1	1
202	характерной чертой	1	1
203	та же	1	1
204	является в	1	1
205	для этого	1	1
206	области идеологии	1	1
207	к другу	1	1
208	в содержании	2	1
209	на себя	3	1
210	то она	1	1
211	сводится к	1	1
212	пределах этого	1	1
213	в порядке	2	1
214	ценности и	1	1
215	не нужно	2	1
216	на них	2	1
217	и кровь	1	1
218	столь же	5	1
219	аналогии с	1	1
220	в значительной	2	1
221	во всех	6	1
222	притом с	1	1
223	окружающей ее	1	1
224	и во	2	1
225	положения и	1	1
226	то мы	1	1
227	друг к	1	1
228	и всего	1	1
229	то в	4	1
230	политики так	1	1
231	к которой	1	1
232	в общем	3	1
233	отметить что	3	1
234	в свои	2	1
235	и можно	2	1
236	того в	1	1
237	именно в	4	1
238	нем и	1	1
239	за вычетом	2	1
240	каких бы	2	1
241	в лучшем	1	1
242	в одной	1	1
243	и характером	1	1
244	ее например	1	1
245	силы этих	1	1
246	все остальные	1	1
247	в новой	1	1
248	хотя и	2	1
249	в двух	1	1
250	тот же	1	1
251	мы увидим	1	1
252	ли он	1	1
253	более или	1	1
254	себе не	3	1
255	увидим что	1	1
256	как нечто	1	1
257	случае она	1	1
258	можно в	2	1
259	может дать	1	1
260	что это	2	1
261	ли из	1	1
262	если мы	1	1
263	близости к	1	1
264	думать что	8	1
265	есть в	2	1
266	бы только	1	1
267	права и	1	1
268	не можем	2	1
269	во многих	4	1
270	в большинстве	2	1
271	значение и	1	1
272	в виде	5	1
273	исходит из	1	1
274	противном случае	1	1
275	не из	3	1
276	оно всегда	1	1
277	при помощи	2	1
278	в переводе	1	1
279	смысле она	1	1
280	на одну	2	1
281	одно из	1	1
282	себе в	3	1
283	и их	1	1
284	всяком случае	3	1
285	не как	1	1
286	в одном	2	1
287	вовсе не	6	1
288	как его	1	1
289	бытия и	1	1
290	какой бы	2	1
291	быть обязательно	1	1
292	на этом	1	1
293	это один	1	1
294	или иных	1	1
295	значительной степени	1	1
296	том же	1	1
297	бы они	1	1
298	и только	3	1
299	что все	2	1
300	образом к	1	1
301	своем значении	1	1
302	они должны	1	1
303	только отдельные	1	1
304	выходит за	1	1
305	которой принадлежит	1	1
306	входя в	1	1
307	должно быть	1	1
308	входит в	1	1
309	и иных	1	1
310	и мы	3	1
311	было бы	8	1
312	к которому	1	1
313	этом смысле	3	1
314	и прежде	3	1
315	и тем	3	1
316	один и	1	1
317	отражение в	1	1
318	кажется что	2	1
319	только к	2	1
320	что для	1	1
321	говорит о	3	1
322	физические и	1	1
323	для них	2	1
324	от нее	1	1
325	не было	1	1
326	рядом с	1	1
327	далеко не	2	1
328	не на	4	1
329	в ее	8	1
330	одна и	2	1
