N	3gram	Bakhtin_Fr_3	SlovoVZh
1	по отношению к	2	11
2	не может быть	2	7
3	в нашем примере	3	7
4	можно сказать что	2	5
5	дело в том	1	4
6	в том что	1	4
7	и не может	1	3
8	отражает в себе	1	3
9	бы то ни	1	3
10	может быть и	1	3
11	до сих пор	4	3
12	имеет в виду	2	3
13	это как бы	1	3
14	то ни было	1	3
15	имеем в виду	1	2
16	на самом деле	3	2
17	с другой стороны	1	2
18	мы все время	1	2
19	с точки зрения	1	2
20	лежит на границе	1	2
21	в данном случае	2	2
22	в настоящее время	1	2
23	существенный момент в	1	1
24	тех или иных	1	1
25	в виду и	1	1
26	том что в	1	1
27	но все же	1	1
28	и в этом	1	1
29	и потому не	1	1
30	там же где	1	1
31	художественную форму и	1	1
32	какой бы то	1	1
33	одним и тем	1	1
34	во всяком случае	1	1
35	мы уже сказали	1	1
36	так как в	1	1
37	мы не найдем	1	1
38	не на что	1	1
39	между тем как	1	1
40	как это делает	1	1
41	в нем и	1	1
42	сих пор не	1	1
43	мы в нем	1	1
44	но для этого	1	1
45	в свою очередь	1	1
46	но и в	2	1
47	же время не	1	1
48	и др и	1	1
49	о том что	2	1
50	и отнюдь не	1	1
51	только то что	1	1
52	в этом отношении	2	1
53	но несмотря на	1	1
54	не найдем в	1	1
55	с самого начала	1	1
56	только там где	1	1
57	и прежде всего	3	1
58	можно было бы	2	1
59	речи так как	1	1
60	особый тип общения	1	1
61	то же время	6	1
62	подобно тому как	1	1
63	как мы уже	5	1
64	к слову в	1	1
65	включает в себя	1	1
66	в основе своей	1	1
67	в приведенном нами	1	1
68	прежде всего тем	1	1
69	мы имеем в	1	1
70	может быть только	1	1
71	здесь вовсе не	1	1
72	в то же	6	1
73	и в частности	1	1
74	может быть понято	1	1
75	в значительной степени	2	1
76	эти моменты и	1	1
77	они входят в	1	1
78	все эти три	1	1
79	как и в	2	1
80	и тем же	1	1
81	но в то	4	1
82	и с другой	1	1
83	в высшей степени	1	1
84	в том же	2	1
