N	3gram	Losev_Vesc_1	FransuaR
1	в то же	1	6
2	до сих пор	1	4
3	в той же	1	4
4	для того чтобы	2	3
5	в той или	2	2
6	в этом отношении	1	2
7	можно было бы	1	2
8	как раз в	1	2
9	и во всей	1	2
10	по сравнению с	6	2
11	не может быть	6	2
12	все то что	1	2
13	в данном случае	2	2
14	о том что	4	2
15	можно сказать что	3	2
16	что иное как	7	1
17	и необходимо и	1	1
18	выводы из этого	1	1
19	в основе своей	2	1
20	с полной ясностью	1	1
21	оно может быть	1	1
22	дело в том	2	1
23	мы уже сказали	1	1
24	и в особенности	1	1
25	подобно тому как	4	1
26	но даже и	2	1
27	свидетельствует о том	3	1
28	о том как	1	1
29	имеется в виду	1	1
30	может быть только	3	1
31	как раз и	1	1
32	с точки зрения	3	1
33	бы то ни	4	1
34	он и не	1	1
35	об этом в	1	1
36	в собственном смысле	2	1
37	значит не только	4	1
38	и с другой	2	1
39	и в частности	1	1
40	в применении к	1	1
41	не что иное	7	1
42	да и сама	1	1
43	в том чтобы	1	1
44	в первом случае	2	1
45	что между ними	1	1
46	то ни было	4	1
47	однако и здесь	1	1
48	дело не с	2	1
49	так как всякое	1	1
50	между ними уже	1	1
51	как будто бы	1	1
52	во втором случае	1	1
53	момент в истории	1	1
54	во всяком случае	2	1
55	это одна из	1	1
56	с другой стороны	2	1
57	само по себе	1	1
58	мы видели что	1	1
59	в свое время	2	1
60	только то что	2	1
61	в истории и	1	1
62	есть не что	5	1
63	заключается в том	1	1
64	даже и в	1	1
65	в свою очередь	4	1
66	это и есть	1	1
67	что в ней	1	1
68	первом случае мы	1	1
69	но и для	1	1
70	и в самом	1	1
71	в отрыве от	2	1
72	кроме того что	1	1
73	в новое время	1	1
74	мы встречаем здесь	1	1
75	мы видим что	1	1
76	тех или иных	1	1
77	в том что	4	1
78	что и в	1	1
79	как мы знаем	1	1
80	есть все то	1	1
