N	4gram	Bakhtin_Fr_3	Formalny
1	в то же время	6	7
2	бы то ни было	1	4
3	и не может быть	1	3
4	нет и не может	1	2
5	одним и тем же	1	2
6	дело в том что	1	1
7	мы имеем в виду	1	1
8	время не может быть	1	1
9	начала и до конца	4	1
10	где кончается одно и	1	1
11	какой бы то ни	1	1
12	с начала и до	4	1
13	в том числе и	2	1
14	же время не может	1	1
15	и до конца в	1	1
16	мы уже указывали на	1	1
17	одной и той же	2	1
18	мы еще вернемся в	2	1
19	и с рядом других	1	1
20	то же время не	1	1
21	имеем в виду прежде	1	1
22	может быть понято и	1	1
23	и в данном случае	1	1
24	в виду прежде всего	1	1
