N	3gram	Propp_Russ_1	NovoeSre
1	подобно тому как	1	3
2	не значит что	2	3
3	вместе с тем	6	2
4	так же как	1	2
5	это не значит	2	2
6	вопрос о том	1	2
7	ни одна из	1	2
8	и того же	1	1
9	что в этом	2	1
10	только потому что	1	1
11	одного и того	1	1
12	же как и	1	1
13	но и потому	1	1
14	применяя к ним	1	1
15	в отличие от	1	1
16	о том чтобы	1	1
17	наряду с этим	1	1
18	можно было бы	1	1
19	не только в	1	1
20	и потому что	2	1
21	как будто бы	1	1
22	во всяком случае	1	1
23	есть вместе с	1	1
24	о том что	4	1
25	в то время	1	1
26	не только потому	1	1
27	как будто не	1	1
28	в большинстве случаев	2	1
29	быть не может	1	1
30	в том что	15	1
31	как и в	1	1
