N	3gram	Propp_Isto_1	Dialekti
1	и т д	22	23
2	тем не менее	6	10
3	что иное как	1	6
4	не может быть	7	6
5	не что иное	1	6
6	само по себе	2	5
7	о том что	3	5
8	подобно тому как	1	4
9	то время как	3	4
10	в то время	3	4
11	и больше ничего	1	4
12	то ясно что	2	3
13	сами по себе	1	3
14	того что он	1	3
15	с одной стороны	4	3
16	в том что	4	3
17	есть не что	1	3
18	и что такое	1	3
19	на то что	4	3
20	только тогда когда	1	3
21	все остальное есть	1	2
22	это было бы	1	2
23	не говоря уже	1	2
24	того или иного	1	2
25	говоря уже о	1	2
26	было указано что	1	2
27	но они не	1	2
28	точно так же	3	2
29	и тем не	2	2
30	в зависимости от	2	2
31	так же как	2	2
32	уже по одному	1	2
33	и в этом	1	2
34	не могут быть	1	2
35	с другой стороны	5	2
36	иметь в виду	1	2
37	и от его	1	2
38	мы не можем	2	2
39	к тому что	1	2
40	к тому же	1	2
41	в чистом виде	2	1
42	по существу своему	1	1
43	он исходит из	1	1
44	и в особенности	1	1
45	так что в	1	1
46	этим мы еще	1	1
47	внимание на то	1	1
48	то же самое	3	1
49	одной стороны и	1	1
50	же как и	1	1
51	до сих пор	5	1
52	что мы имеем	2	1
53	на точку зрения	1	1
54	друг на друга	1	1
55	кого бы то	1	1
56	чем иным как	1	1
57	это не может	2	1
58	в этом отношении	1	1
59	не то же	4	1
60	и даже в	1	1
61	а иногда и	1	1
62	что он должен	1	1
63	может быть только	1	1
64	еще не есть	1	1
65	это может быть	1	1
66	и для этого	1	1
67	а так как	1	1
68	не чем иным	1	1
69	если бы мы	2	1
70	в них как	1	1
71	и что он	1	1
72	во многих местах	1	1
73	не значит что	1	1
74	оказывается что это	1	1
75	не содержит в	1	1
76	как абстрактное понятие	1	1
77	в мифе о	1	1
78	не в том	1	1
79	это не значит	1	1
80	мы никогда не	1	1
81	имеем дело не	1	1
82	т д на	1	1
83	это конечно не	2	1
84	явление но если	1	1
85	но так как	1	1
86	очень мало и	1	1
87	лишь тогда когда	1	1
88	содержит в себе	1	1
89	и должен быть	2	1
90	более или менее	5	1
91	это потому что	1	1
92	кроме того есть	1	1
93	в одном из	1	1
94	легко заметить что	1	1
95	бы то ни	2	1
96	то ни было	2	1
97	здесь не просто	1	1
98	однако что же	1	1
99	в связи с	3	1
100	тех или иных	1	1
101	во всем его	1	1
102	не более как	1	1
103	уже о том	1	1
104	все это не	1	1
105	что и в	1	1
