N	4gram	Medvedev_F_3	StatiiOP
1	в то же время	7	3
2	это связано с тем	1	2
3	связано с тем что	1	2
4	и тем не менее	1	2
5	все более и более	1	2
6	и т п в	2	1
7	дело не в том	1	1
8	в одной из своих	1	1
9	с этой точки зрения	1	1
10	не в том что	1	1
11	одной и той же	1	1
12	это объясняется тем что	1	1
13	потому что он был	1	1
14	то же самое и	1	1
15	для того чтобы стать	1	1
16	одних и тех же	1	1
17	а потому что он	1	1
18	не потому что он	1	1
19	и во всяком случае	2	1
20	говорит о том что	1	1
21	в одних и тех	1	1
22	с точки зрения своей	1	1
