N	2gram	Ircho_Kome_1	VelikijI
1	и не	8	20
2	и в	22	16
3	так как	4	9
4	то что	2	9
5	еще не	2	8
6	в истории	5	8
7	что они	4	7
8	и потому	1	7
9	к людям	2	6
10	на себя	2	5
11	но и	11	5
12	того что	1	5
13	хотя и	3	5
14	в мире	1	5
15	все это	5	5
16	как бы	1	5
17	ты не	1	5
18	в образе	3	4
19	говорить о	1	4
20	в его	5	4
21	в этом	3	4
22	что он	6	4
23	потому что	5	4
24	в нем	4	4
25	так и	5	4
26	что все	1	4
27	как и	9	4
28	в котором	4	4
29	в ней	1	4
30	и все	3	4
31	это еще	2	4
32	все что	2	4
33	и что	1	3
34	же ты	1	3
35	хотя бы	1	3
36	то это	1	3
37	в чем	3	3
38	во всех	1	3
39	что и	4	3
40	в том	11	3
41	тот же	3	3
42	но в	4	3
43	за ним	1	3
44	от которого	1	3
45	в конце	6	3
46	в жизни	1	3
47	ни в	6	3
48	в них	3	3
49	в этих	1	3
50	что во	1	3
51	и против	1	3
52	не в	6	3
53	любовь к	1	3
54	тому что	1	3
55	но это	2	3
56	превращается в	1	3
57	и для	1	3
58	к тому	6	3
59	жизни и	1	3
60	что в	6	3
61	а между	1	2
62	и это	1	2
63	того чтобы	1	2
64	во главе	1	2
65	по которым	4	2
66	и сам	3	2
67	и т	9	2
68	можно было	1	2
69	и за	1	2
70	мы не	3	2
71	когда в	1	2
72	с ним	1	2
73	под этим	1	2
74	и во	2	2
75	между тем	5	2
76	я думаю	1	2
77	вслед за	2	2
78	материалом для	1	2
79	государства и	1	2
80	его к	1	2
81	только в	3	2
82	в себя	2	2
83	не только	10	2
84	не так	1	2
85	земли и	1	2
86	не к	2	2
87	не могли	1	2
88	тем что	4	2
89	на том	1	2
90	в число	2	2
91	т д	4	2
92	а с	1	2
93	с презрением	1	2
94	прежде всего	5	2
95	для них	2	2
96	все равно	1	2
97	с тем	1	2
98	мы и	1	2
99	один из	5	2
100	для их	1	2
101	мира в	1	2
102	не могут	1	2
103	да и	3	2
104	одна из	2	2
105	что их	1	2
106	происхождении и	1	2
107	уже на	1	2
108	том что	12	2
109	а к	2	2
110	людей так	1	2
111	от него	1	2
112	в форме	2	2
113	и теперь	2	2
114	ее в	2	2
115	которым можно	1	2
116	до того	1	2
117	людей и	1	2
118	что теперь	1	2
119	а в	6	2
120	но не	2	2
121	в духе	1	2
122	могут быть	3	2
123	всего в	3	2
124	во всяком	2	2
125	к полному	1	1
126	света в	1	1
127	речь идет	3	1
128	как мы	4	1
129	для себя	2	1
130	небом и	1	1
131	роль в	1	1
132	в нашу	1	1
133	если они	2	1
134	то же	6	1
135	тысячи лет	1	1
136	на путь	1	1
137	из всего	2	1
138	в результате	4	1
139	это только	1	1
140	которого они	1	1
141	что уже	1	1
142	вопрос о	3	1
143	не была	1	1
144	и прежняя	1	1
145	который был	1	1
146	находится в	2	1
147	и отвергает	1	1
148	и ее	3	1
149	ли так	1	1
150	зависимости от	1	1
151	думаю что	1	1
152	в их	4	1
153	и на	3	1
154	он был	2	1
155	после того	3	1
156	в последних	3	1
157	бы то	2	1
158	отказ от	1	1
159	к нему	2	1
160	ее от	1	1
161	от них	2	1
162	если в	1	1
163	бы в	1	1
164	нам право	1	1
165	и можно	2	1
166	как в	5	1
167	и мир	2	1
168	в своем	1	1
169	потребность в	1	1
170	с именем	1	1
171	что нет	1	1
172	все же	3	1
173	есть что-то	1	1
