N	3gram	Tiupa_Hudo_1	Poddanst
1	в то же	5	7
2	то же время	5	7
3	в отношении к	1	5
4	в том что	7	4
5	с точки зрения	3	3
6	в сравнении с	1	3
7	с одной стороны	2	3
8	в том числе	2	2
9	и в то	1	2
10	заключает в себе	1	2
11	в полной мере	1	2
12	заключается в том	1	2
13	в этом мире	2	1
14	мы видим в	1	1
15	видим в нем	1	1
16	есть как бы	1	1
17	более или менее	5	1
18	в настоящее время	1	1
19	в этом смысле	3	1
20	сколько бы ни	1	1
21	тот или иной	2	1
22	только в условиях	1	1
23	можно говорить о	1	1
24	в отличие от	7	1
25	так же как	1	1
26	но в отличие	1	1
27	с другой стороны	5	1
28	не может быть	3	1
29	та или иная	1	1
30	тем и другим	1	1
31	и теперь в	1	1
32	ни к чему	1	1
33	и тем самым	1	1
34	именно потому что	1	1
35	в частности в	1	1
36	в русской культуре	1	1
37	эти могут быть	1	1
38	в известном смысле	1	1
39	для того чтобы	2	1
40	том числе и	1	1
41	не только мы	1	1
