N	3gram	Savitsky_P_1	FransuaR
1	в то же	7	6
2	то же время	7	6
3	с точки зрения	3	5
4	не только в	4	5
5	в эту эпоху	1	4
6	но и в	2	4
7	не может быть	1	4
8	в xix веке	1	3
9	но в то	1	3
10	с одной стороны	3	3
11	с другой стороны	1	3
12	в последующие века	1	2
13	в собственном смысле	1	2
14	и в то	2	2
15	по сравнению с	1	2
16	во всяком случае	1	2
17	в основном и	1	2
18	мы знаем что	1	1
19	же в этой	1	1
20	хотя и менее	1	1
21	к первой половине	1	1
22	в настоящее время	1	1
23	одной стороны и	2	1
24	и не может	1	1
25	же время в	1	1
26	тот же период	1	1
27	в значительной мере	2	1
28	и есть в	1	1
29	в области отношения	1	1
30	все это в	1	1
31	было бы неправильно	1	1
32	на библейские темы	1	1
33	области отношения к	1	1
34	в борьбе с	1	1
35	друг с другом	1	1
36	не только как	1	1
37	к xv веку	1	1
38	почти исключительно на	1	1
39	но также и	1	1
40	и теперь в	1	1
41	она не только	1	1
42	в большинстве случаев	1	1
43	что уже в	1	1
44	для того чтобы	1	1
45	в том что	4	1
46	в области политической	1	1
