N	2gram	Potebnia_M_4	NovoeSre
1	а не	12	17
2	и в	23	16
3	не может	11	16
4	и не	18	11
5	и есть	3	10
6	истории и	1	9
7	что в	17	9
8	как не	1	8
9	в том	23	8
10	жизни и	1	8
11	он не	2	8
12	в этом	23	7
13	к новому	1	7
14	может быть	26	7
15	не будет	3	7
16	как и	14	7
17	это есть	3	7
18	не в	11	6
19	никогда не	3	6
20	лишь в	3	6
21	но это	3	6
22	не знает	1	6
23	в ней	2	5
24	и к	6	5
25	не только	10	5
26	xix века	1	5
27	все это	5	5
28	в нем	7	5
29	со всех	1	4
30	не во	1	4
31	большую роль	1	4
32	быть может	4	4
33	о том	8	4
34	всех сторон	1	4
35	и мы	5	4
36	жизни к	2	4
37	перестает быть	1	4
38	в них	3	4
39	то что	29	4
40	это не	7	4
41	прежде всего	1	4
42	не было	12	4
43	должно быть	5	4
44	есть лишь	2	4
45	и потому	10	4
46	по своему	2	4
47	не менее	5	4
48	и для	2	4
49	не имеет	5	4
50	и все	4	4
51	потому что	33	4
52	с другой	2	3
53	в ее	2	3
54	должна быть	1	3
55	вопрос о	2	3
56	человека и	3	3
57	еще не	3	3
58	во всех	1	3
59	за пределы	1	3
60	лицом к	1	3
61	в истории	4	3
62	как в	7	3
63	духа и	2	3
64	конечно не	2	3
65	не значит	2	3
66	к ним	2	3
67	подобно тому	2	3
68	перейти к	1	3
69	в мире	2	3
70	но и	11	3
71	это было	2	3
72	не есть	9	3
73	стремится к	2	3
74	с тем	7	3
75	бога и	1	3
76	к лицу	1	3
77	в своей	1	3
78	тому как	2	3
79	она не	2	3
80	что такое	7	3
81	в наше	1	3
82	не существует	2	3
83	истории не	1	3
84	к тому	3	3
85	сказать что	8	3
86	и это	2	2
87	связана с	1	2
88	роль в	1	2
89	переход к	1	2
90	можно было	2	2
91	так и	6	2
92	времени и	1	2
93	мы не	8	2
94	общества и	1	2
95	мира и	1	2
96	и с	4	2
97	еще до	3	2
98	я не	2	2
99	из глубины	1	2
100	и что	7	2
101	и на	3	2
102	быть в	1	2
103	времени в	1	2
104	но не	1	2
105	в новом	1	2
106	века и	1	2
107	с этим	7	2
108	помнить что	1	2
109	ни к	2	2
110	хотя и	5	2
111	но в	8	2
112	духа в	1	2
113	в обществе	2	2
114	все эти	3	2
115	с одной	1	2
116	думать что	4	2
117	есть в	5	2
118	в себе	14	2
119	уже не	3	2
120	не будут	1	2
121	том чтобы	1	2
122	нашего времени	3	2
123	у него	1	2
124	люди не	1	2
125	что она	2	2
126	что все	4	2
127	нет и	1	2
128	и даже	2	2
129	в природе	1	2
130	и было	1	2
131	том что	12	2
132	вместе с	6	2
133	так же	4	2
134	мы говорим	7	2
135	к содержанию	1	2
136	мысли и	7	2
137	одной стороны	1	2
138	другой стороны	1	2
139	том и	2	2
140	как будто	1	2
141	войны и	1	2
142	и формы	1	2
143	как это	1	2
144	но для	1	2
145	равно как	2	2
146	в смысле	3	2
147	в то	4	2
148	мысли в	2	2
149	того чтобы	4	2
150	хотя бы	4	2
151	а в	5	2
152	от всякого	1	2
153	я называю	1	2
154	споры о	1	2
155	когда мы	6	2
156	могут быть	7	2
157	свободы и	1	2
158	можно назвать	2	2
159	нужно помнить	1	1
160	также что	1	1
161	и через	1	1
162	он может	1	1
163	только потому	4	1
164	будет сказать	1	1
165	переход от	3	1
166	к таким	1	1
167	воля не	1	1
168	и до	3	1
169	можно лишь	2	1
170	и мысли	2	1
171	слова а	1	1
172	то нужно	1	1
173	в образе	2	1
174	на нее	3	1
175	мы уже	3	1
176	не с	2	1
177	конечно есть	1	1
178	к тем	1	1
179	есть непосредственное	1	1
180	и трудно	1	1
181	к новой	1	1
182	человека это	1	1
183	были людьми	1	1
184	с ним	5	1
185	можно сказать	4	1
186	смысле и	1	1
187	говорить о	5	1
188	верим в	1	1
189	оно есть	2	1
190	и другая	1	1
191	и человека	1	1
192	то это	8	1
193	под этим	1	1
194	не был	1	1
195	в виду	3	1
196	зависимости от	1	1
197	есть вместе	2	1
198	это время	1	1
199	более высокой	1	1
200	устарели и	1	1
201	в xix	1	1
202	вопрос об	1	1
203	на них	1	1
204	теперь и	1	1
205	себя а	1	1
206	что его	2	1
207	в чем	1	1
208	не могу	2	1
209	и во	1	1
210	и научной	1	1
211	все в	2	1
212	не могут	2	1
213	своего рода	1	1
214	к нему	5	1
215	то он	2	1
216	понять что	1	1
217	значение и	2	1
218	над этой	1	1
219	в его	5	1
220	но нет	2	1
221	нужно быть	1	1
222	это предполагает	1	1
223	отличие от	1	1
224	и только	3	1
225	движение вперед	1	1
226	значение для	1	1
227	религия в	1	1
228	к которому	1	1
229	в своем	8	1
230	и нет	1	1
231	что нет	1	1
232	человека в	2	1
233	время когда	2	1
234	возможно было	1	1
235	что он	4	1
236	только в	15	1
237	во всем	1	1
238	которым оно	2	1
239	в самом	3	1
240	а во-вторых	1	1
241	то время	1	1
242	он в	1	1
243	из этих	2	1
244	но будет	1	1
245	в известном	1	1
246	это показывает	1	1
247	и у	2	1
248	уже в	5	1
249	в большинстве	2	1
250	дальше и	1	1
251	отнести к	1	1
252	человек не	2	1
253	человеческого духа	6	1
254	свидетельствует о	1	1
255	вообще не	1	1
256	имя но	1	1
257	вера в	1	1
258	большинстве случаев	2	1
259	своем развитии	2	1
260	из них	1	1
261	человека на	1	1
262	бы к	1	1
263	к своим	1	1
264	для того	6	1
265	есть переход	1	1
266	и их	3	1
267	века не	1	1
268	всяком случае	3	1
269	и когда	2	1
270	к одному	3	1
271	слова в	3	1
272	сами по	2	1
273	говорим что	3	1
274	должны стать	1	1
275	друг друга	2	1
276	бытия и	1	1
277	мысли как	2	1
278	которые могут	1	1
279	совершающееся в	1	1
280	тем что	10	1
281	заключает в	8	1
282	в нее	3	1
283	от того	4	1
284	ее жизни	1	1
285	и вместе	3	1
286	но все	1	1
287	значительной степени	2	1
288	от нее	1	1
289	это значит	1	1
290	не сознавать	1	1
291	значение в	1	1
292	том случае	3	1
293	все от	1	1
294	не были	2	1
295	них не	1	1
296	а по	1	1
297	создает свою	1	1
298	перестать быть	1	1
299	говорим о	1	1
300	и из	3	1
301	с другими	4	1
302	который и	1	1
303	нельзя сказать	3	1
304	было бы	8	1
305	он есть	1	1
306	а это	1	1
307	и быть	2	1
308	было и	2	1
309	лишь по	1	1
310	есть время	1	1
311	что не	6	1
312	что будет	2	1
313	их не	1	1
314	этого она	1	1
315	превращается в	2	1
316	нет в	1	1
317	процесс в	1	1
318	в этой	1	1
319	всю жизнь	1	1
320	для сознания	1	1
321	не всегда	3	1
322	и означает	1	1
323	не быть	1	1
324	как ни	2	1
325	отказаться от	1	1
326	человеческой жизни	1	1
327	очень сложное	1	1
328	ее на	1	1
329	что мы	10	1
330	умственной жизни	1	1
331	и того	1	1
332	одного и	1	1
333	перед собой	1	1
334	и еще	1	1
335	в эту	1	1
336	в этих	3	1
337	было ее	1	1
338	может иметь	2	1
339	во время	2	1
340	и старое	1	1
341	и счастья	1	1
342	но если	1	1
343	нашей мысли	3	1
344	что истина	1	1
345	нет для	1	1
346	сами не	2	1
347	до этого	3	1
348	в такой	1	1
349	другая сторона	2	1
350	в котором	4	1
351	только для	2	1
352	возможны только	1	1
353	мы в	3	1
