N	2gram	Propp_Morf_1	Komedia
1	и в	13	22
2	т е	21	13
3	том что	4	12
4	в г	1	11
5	но и	4	11
6	в том	6	11
7	не только	4	10
8	в то	3	10
9	из них	3	10
10	и т	41	9
11	как и	3	9
12	может быть	52	9
13	таким образом	21	8
14	о том	2	8
15	и его	1	8
16	в одном	1	8
17	и не	12	8
18	в этой	2	7
19	то же	7	6
20	и по	2	6
21	не в	3	6
22	ни в	1	6
23	что он	4	6
24	к тому	4	6
25	а в	7	6
26	в которой	3	6
27	что в	8	6
28	как в	3	5
29	то время	3	5
30	на его	4	5
31	при этом	1	5
32	во время	6	5
33	потому что	3	5
34	так и	6	5
35	еще в	1	5
36	и даже	1	5
37	между тем	5	5
38	один из	5	5
39	в его	1	5
40	прежде всего	9	5
41	о которых	1	5
42	с другой	8	5
43	другой стороны	4	5
44	из его	2	4
45	время как	3	4
46	что они	2	4
47	но в	2	4
48	т д	39	4
49	и вот	1	4
50	в другом	2	4
51	г в	1	4
52	несмотря на	4	4
53	точки зрения	2	4
54	так как	16	4
55	как мы	6	4
56	на него	3	4
57	в в	2	4
58	ясно что	5	4
59	а также	4	4
60	что и	7	4
61	действующих лиц	11	4
62	в качестве	5	4
63	мы можем	2	4
64	тем что	4	4
65	в результате	7	4
66	же в	2	4
67	к этому	3	4
68	в тех	6	3
69	мы не	8	3
70	и на	1	3
71	в чем	1	3
72	с одной	1	3
73	в этом	14	3
74	все же	7	3
75	хотя и	3	3
76	и как	5	3
77	можно сделать	2	3
78	в целом	3	3
79	на то	2	3
80	главным образом	4	3
81	он не	3	3
82	или вовсе	1	3
83	здесь мы	3	3
84	и с	1	3
85	его в	2	3
86	чаще всего	7	3
87	в них	1	3
88	на основании	1	3
89	и ее	3	3
90	вопрос о	7	3
91	не менее	5	3
92	однако в	2	3
93	даже в	1	3
94	по отношению	4	3
95	того как	2	3
96	ничего не	4	3
97	за исключением	1	3
98	этом отношении	1	3
99	у нас	2	3
100	могут быть	16	3
101	после того	1	3
102	там же	1	3
103	в частности	2	3
104	в образе	4	3
105	одной из	1	3
106	только в	2	3
107	и у	1	3
108	в виде	2	3
109	в начале	3	3
110	отношение к	1	3
111	у него	1	3
112	как раз	1	3
113	после смерти	1	3
114	все более	1	3
115	так же	3	3
116	как это	3	3
117	по своему	2	3
118	одной стороны	1	3
119	в течение	1	3
120	не удалось	1	3
121	см ниже	2	3
122	и все	1	3
