N	2gram	Medvedev_F_3	Sovremen
1	не может	24	17
2	может быть	25	12
3	точки зрения	16	12
4	таким образом	18	11
5	мы не	4	9
6	в каждом	5	8
7	в этом	18	7
8	не можем	2	7
9	и в	27	7
10	мы можем	4	6
11	ничего не	2	6
12	как и	14	6
13	и не	30	6
14	в результате	5	6
15	все эти	6	5
16	что же	5	5
17	прежде всего	4	5
18	с точки	14	5
19	в условиях	3	5
20	в стадии	1	5
21	в дальнейшем	5	4
22	в зависимости	5	4
23	зависимости от	5	4
24	нет и	3	4
25	мы должны	2	4
26	в том	7	4
27	в целом	4	4
28	если мы	7	4
29	из них	2	4
30	так как	9	4
31	каждого элемента	1	4
32	мы видели	4	4
33	не только	9	4
34	в развитии	1	4
35	с помощью	8	4
36	как бы	8	4
37	вместе с	6	4
38	это не	3	4
39	их в	3	4
40	а в	1	4
41	жизни и	4	4
42	он может	2	3
43	в первом	1	3
44	с самого	1	3
45	то же	15	3
46	ясно что	3	3
47	но мы	1	3
48	между собой	4	3
49	видели что	2	3
50	отнюдь не	8	3
51	все же	6	3
52	еще не	6	3
53	но в	6	3
54	у каждого	1	3
55	в этой	2	3
56	в себе	3	3
57	уже в	4	3
58	как он	2	3
59	что она	2	3
60	ведь это	1	3
61	в одном	1	3
62	в конце	3	3
63	в нем	15	3
64	при этом	8	3
65	из двух	1	3
66	было бы	6	3
67	а не	17	3
68	и потому	5	3
69	не в	12	3
70	все это	7	3
71	самого начала	1	3
72	при таком	1	3
73	одна из	2	3
74	для нас	3	3
75	и все	8	3
76	у нас	3	3
77	состоит из	1	3
78	отличается от	2	3
79	следующим образом	1	3
80	в области	2	3
81	как известно	1	2
82	как мы	8	2
83	период развития	1	2
84	тем же	7	2
85	роль в	4	2
86	все те	1	2
87	той же	3	2
88	на этом	2	2
89	из одного	2	2
90	и даже	2	2
91	говорить о	2	2
92	настоящее время	1	2
93	и что	3	2
94	и во	2	2
95	самом деле	16	2
96	говорить об	2	2
97	в его	7	2
98	от обстоятельств	1	2
99	может иметь	2	2
100	с этим	1	2
101	быть и	1	2
102	только один	2	2
103	в самом	11	2
104	что это	3	2
105	в нашем	1	2
106	из этих	2	2
107	тот или	1	2
108	с одной	1	2
109	первый период	1	2
110	ни одна	1	2
111	уже не	3	2
112	то и	1	2
113	так сказать	5	2
114	с другом	1	2
115	о принципиальной	1	2
116	тем не	2	2
117	мы знаем	4	2
118	который как	1	2
119	всяком случае	6	2
120	и по	1	2
121	отличие от	2	2
122	но все	1	2
123	то ни	4	2
124	значение в	1	2
125	с общим	1	2
126	или иной	2	2
127	и пр	15	2
128	а на	2	2
129	такой же	2	2
130	в отличие	2	2
131	знаем что	2	2
132	друг с	1	2
133	форма в	2	2
134	же мы	1	2
135	не менее	7	2
136	можно назвать	1	2
137	субъективное состояние	1	2
138	и именно	2	2
139	она может	1	2
140	в настоящее	1	2
141	еще более	1	2
142	в новых	1	2
143	мы видим	1	2
144	тот же	1	2
145	совершенно не	7	2
146	не могут	10	2
147	могут быть	4	2
148	что при	1	2
149	же самое	3	2
150	что в	8	2
151	если же	5	2
152	в таком	2	2
153	во всяком	6	2
154	должен быть	2	1
155	правда не	1	1
156	и это	2	1
157	он ищет	1	1
158	можно говорить	4	1
159	оно может	1	1
160	своего развития	1	1
161	времени не	1	1
162	в жизненной	1	1
163	человека и	2	1
164	функции в	3	1
165	с ее	2	1
166	через все	1	1
167	реагирует на	1	1
168	лишь там	1	1
169	а из	1	1
170	научной работы	2	1
171	другое направление	1	1
172	очень важную	1	1
173	на самом	14	1
174	ее роль	2	1
175	это и	2	1
176	определенные условия	1	1
177	для науки	1	1
178	самому понятию	1	1
179	между двумя	1	1
180	здесь и	6	1
181	отношению к	3	1
182	так в	2	1
183	и до	1	1
184	бы к	2	1
185	не имеют	1	1
186	что такой	1	1
187	раз может	1	1
188	то нужно	1	1
189	иметь место	1	1
190	в мире	1	1
191	быть действительно	1	1
192	входящих в	1	1
193	строго отличать	1	1
194	можно было	1	1
195	только тот	1	1
196	мы уже	3	1
197	те же	3	1
198	есть не	1	1
199	раз он	1	1
200	его принципиальная	1	1
201	деятельность как	1	1
202	потенций как	1	1
203	в социальном	1	1
204	мы имеем	1	1
205	готовом виде	1	1
206	же как	3	1
207	еще в	3	1
208	действительно если	1	1
209	это только	2	1
210	теперь мы	1	1
211	развития что	1	1
212	своего объяснения	1	1
213	что уже	2	1
214	же мере	1	1
215	поэтому в	2	1
216	если бы	12	1
217	и вообще	1	1
218	и действительно	2	1
219	и должно	1	1
220	нечто совсем	2	1
221	то из	2	1
222	того же	3	1
223	о том	4	1
224	мы без	2	1
225	в ней	5	1
226	и та	1	1
227	определенным образом	1	1
228	то конечно	1	1
229	что каждый	2	1
230	одного из	1	1
231	развитии в	1	1
232	без труда	2	1
233	срастаются в	1	1
234	перестал быть	1	1
235	всей ситуации	1	1
236	же время	7	1
237	бы то	4	1
238	что его	1	1
239	действительности развивается	1	1
240	его в	7	1
241	с его	2	1
242	во всех	3	1
243	но конечно	1	1
244	те или	1	1
245	раз и	3	1
246	еще одним	1	1
247	данном случае	4	1
248	совсем не	5	1
249	но не	5	1
250	образом все	1	1
251	к этому	2	1
252	данного элемента	1	1
253	друг на	1	1
254	по отношению	3	1
255	а потому	1	1
256	отвлекаясь от	1	1
257	и действительное	1	1
258	системе мы	1	1
259	каждый элемент	4	1
260	его осуществления	3	1
261	приводит и	1	1
262	один и	1	1
263	может стать	3	1
264	в ту	1	1
265	сложное и	1	1
266	все время	6	1
267	чем же	2	1
268	человека как	2	1
269	независимо от	5	1
270	например при	1	1
271	от объективной	1	1
272	стороны и	2	1
273	этого развития	1	1
274	к которому	2	1
275	форму и	1	1
276	более и	1	1
277	один из	1	1
278	кроме того	1	1
279	через известный	1	1
280	одной из	2	1
281	в действительности	9	1
282	увидим что	2	1
283	только в	8	1
284	именно эта	1	1
285	целого и	1	1
286	роль играет	1	1
287	может оказаться	1	1
