N	3gram	Vinokur_St_1	Russkaja
1	то же время	4	10
2	в то же	4	10
3	с точки зрения	8	9
4	в том что	17	7
5	на самом деле	6	6
6	во всяком случае	6	6
7	для того чтобы	10	6
8	а между тем	1	5
9	до сих пор	7	5
10	на то что	4	4
11	бы то ни	1	4
12	в том случае	1	4
13	не может быть	5	4
14	не может не	1	3
15	то ни стало	1	3
16	во что бы	1	3
17	в этом случае	2	3
18	в лучшем случае	1	3
19	можно было бы	8	3
20	и не может	1	3
21	и то что	2	3
22	что бы то	1	3
23	в данном случае	6	3
24	в конце концов	1	3
25	той или иной	1	3
26	точно так же	1	2
27	в настоящее время	1	2
28	в том и	1	2
29	только в том	3	2
30	что он не	1	2
31	тот факт что	1	2
32	и в том	2	2
33	того или иного	4	2
34	о том что	11	2
35	за последнее время	1	2
36	друг от друга	1	2
37	к тому что	1	2
38	должны были бы	1	1
39	в другом месте	1	1
40	россии никогда не	1	1
41	что же это	1	1
42	никогда не было	1	1
43	дело в том	4	1
44	так же и	1	1
45	по отношению к	3	1
46	в самом деле	5	1
47	но как бы	1	1
48	но даже и	1	1
49	в том числе	2	1
50	в том же	1	1
51	является не только	1	1
52	нетрудно было бы	1	1
53	всякого давления со	1	1
54	но для нас	1	1
55	что с точки	1	1
56	и в других	1	1
57	на точку зрения	2	1
58	некоторых из них	1	1
59	только то что	1	1
60	в этом отношении	7	1
61	том числе и	2	1
62	за то что	3	1
63	на этот вопрос	1	1
64	может быть уверен	1	1
65	по крайней мере	2	1
66	давления со стороны	1	1
67	верить что в	1	1
68	показать что и	1	1
69	в применении к	3	1
70	и что в	1	1
71	то что оно	1	1
72	в том чтобы	1	1
73	но в то	2	1
74	уверен в том	1	1
75	смысле этого слова	1	1
76	и в этом	3	1
77	во всех этих	1	1
78	прежде всего необходимо	1	1
79	этого прежде всего	1	1
80	всяком случае не	1	1
81	по этому пути	1	1
82	казалось бы это	1	1
83	если бы все	1	1
84	также и то	1	1
85	только с точки	1	1
86	без всякого давления	1	1
87	так же как	3	1
88	об этом и	1	1
89	в один общий	1	1
90	быть уверен в	1	1
91	и таким образом	1	1
92	а в том	1	1
93	само собой разумеется	1	1
94	собой разумеется что	1	1
95	конкретно представить себе	1	1
96	то что для	1	1
97	заключается в том	3	1
98	говорить о том	1	1
99	даже и в	1	1
100	когда речь идет	2	1
101	решения этого вопроса	1	1
102	как бы ни	1	1
103	для этого прежде	1	1
104	вопрос о том	2	1
105	речь идет о	2	1
106	в результате этого	1	1
107	но все же	3	1
108	о том чем	1	1
109	но ведь в	1	1
110	тем более что	2	1
111	трудно видеть что	1	1
112	тем не менее	2	1
113	во многих случаях	2	1
114	быть не может	1	1
115	нечего и говорить	1	1
116	не было а	1	1
117	не трудно видеть	1	1
118	и только в	3	1
