N	3gram	Ircho_Kome_1	Myslijsy
1	в том что	9	16
2	смысле этого слова	1	7
3	по отношению к	3	5
4	сам по себе	1	5
5	то же время	4	5
6	в то же	4	5
7	вместе с тем	1	4
8	с другой стороны	5	4
9	но и в	2	4
10	в то время	5	4
11	не только в	1	4
12	более или менее	1	3
13	до сих пор	2	3
14	что он не	1	3
15	с одной стороны	3	3
16	и т д	4	3
17	тем не менее	1	3
18	для того чтобы	1	3
19	а между тем	1	2
20	подобно тому как	1	2
21	том что он	4	2
22	в том же	1	2
23	потому что и	1	2
24	в этом отношении	3	2
25	и т п	5	2
26	и в том	1	2
27	как и в	2	2
28	к тому что	1	2
29	между людьми и	1	1
30	в чем не	1	1
31	как одного из	1	1
32	в чем же	1	1
33	отсюда видно что	1	1
34	не говоря уже	2	1
35	то время когда	1	1
36	то же самое	2	1
37	не прибавляет к	1	1
38	говоря уже о	2	1
39	а может быть	1	1
40	со всех сторон	1	1
41	еще и теперь	1	1
42	и тем что	2	1
43	то время как	4	1
44	в данном случае	1	1
45	и тот же	1	1
46	в разной мере	1	1
47	так или иначе	1	1
48	со своей стороны	1	1
49	потому что они	1	1
50	бросается в глаза	1	1
51	ничего не прибавляет	1	1
52	и таким образом	2	1
53	таким образом в	2	1
54	каждого из этих	1	1
55	о том что	3	1
56	но и без	1	1
57	состоит не в	1	1
58	на то что	2	1
59	может и не	1	1
60	друг от друга	1	1
61	как мы уже	1	1
62	после того как	3	1
63	бы только один	1	1
64	него самого и	1	1
65	из них не	1	1
66	в разговоре с	1	1
67	или вовсе не	1	1
68	именно потому что	2	1
69	к тому же	5	1
70	как мы видели	1	1
