N	3gram	Propp_Isto_3	Stilisti
1	с точки зрения	1	5
2	в свою очередь	1	4
3	с самого начала	1	4
4	на самом деле	1	3
5	в этом случае	5	3
6	но и в	1	3
7	не только в	1	3
8	мы уже видели	3	3
9	но все же	2	3
10	как мы видели	5	3
11	должны были бы	1	2
12	и той же	1	2
13	равно как и	1	2
14	тех случаях когда	1	2
15	вместе с тем	1	2
16	как мы увидим	1	2
17	смысле этого слова	1	2
18	не может быть	1	2
19	в тех случаях	1	2
20	есть не что	1	2
21	не что иное	3	2
22	о том что	2	2
23	что иное как	3	2
24	можно сказать что	1	2
25	в связи с	3	2
26	мы видим что	4	2
27	одной и той	1	2
28	мы видели что	3	2
29	с появлением собственности	1	1
30	мы должны будем	1	1
31	все еще не	1	1
32	по отношению к	2	1
33	так как в	1	1
34	мы должны были	1	1
35	не совсем так	2	1
36	до сих пор	5	1
37	и тем что	1	1
38	и он уходит	1	1
39	независимо от того	1	1
40	нет ничего удивительного	1	1
41	мы видели есть	1	1
42	можно было бы	1	1
43	на этот вопрос	1	1
44	и здесь мы	2	1
45	они находятся в	1	1
46	в большинстве случаев	1	1
47	мы увидим дальше	1	1
48	а в этом	1	1
49	остановимся только на	1	1
50	всего мы должны	1	1
51	именно так и	1	1
52	он не будет	1	1
53	тем не менее	5	1
54	но вместе с	1	1
55	достаточно чтобы убедиться	1	1
56	но они еще	1	1
57	но уже не	1	1
58	друг друга и	1	1
59	это не совсем	1	1
60	это еще не	2	1
61	прежде всего мы	1	1
62	таким образом мы	2	1
63	мы увидим ниже	2	1
64	об этом мы	1	1
65	не только не	2	1
66	не только на	1	1
67	мы должны поставить	1	1
68	той роли которую	1	1
69	мы имеем в	2	1
70	с другой стороны	7	1
71	связь с тем	1	1
72	в своей жизни	1	1
73	и о связи	1	1
74	же как мы	1	1
75	мы уже знаем	2	1
76	в том что	5	1
77	как и в	2	1
78	но если бы	1	1
79	в жизни и	1	1
