N	3gram	Bakhtin_Pr_4	OGranits
1	с точки зрения	9	5
2	не может быть	8	4
3	по отношению к	5	3
4	есть прежде всего	1	3
5	одно и то	1	3
6	представим себе что	1	2
7	и наконец в	1	2
8	в самом деле	4	2
9	в данном случае	1	2
10	с одной стороны	1	2
11	и то же	1	2
12	с другой стороны	3	2
13	с самого начала	1	2
14	в том что	2	2
15	мы чувствуем что	1	1
16	но это конечно	1	1
17	как то что	1	1
18	иметь в виду	1	1
19	в синтаксической конструкции	1	1
20	а вовсе не	1	1
21	в виду что	1	1
22	более или менее	3	1
23	и в некоторых	1	1
24	те же самые	1	1
25	нам кажется что	3	1
26	и не может	7	1
27	от него не	1	1
28	за пределы настоящей	1	1
29	в сознании и	1	1
30	в отличие от	3	1
31	нет и не	2	1
32	одна из существеннейших	1	1
33	между тем как	1	1
34	в собственном смысле	1	1
35	можно было бы	2	1
36	почти никогда не	1	1
37	может быть и	1	1
38	в системе языка	2	1
39	если только они	1	1
40	слово но при	1	1
41	в узком смысле	2	1
42	так же как	1	1
43	его роль в	1	1
44	проблем связанных с	1	1
45	не входит в	1	1
46	между собою и	1	1
47	и вместе с	1	1
48	отношение к слову	1	1
49	все же есть	1	1
50	и в их	1	1
51	в связи с	1	1
52	а не как	1	1
53	прежде всего в	1	1
54	собственном смысле слова	1	1
55	сюда относятся все	1	1
56	это конечно не	1	1
57	смысле слова и	1	1
58	в данную эпоху	1	1
59	то же время	5	1
60	в каждом элементе	1	1
61	на этом мы	2	1
62	но в то	2	1
63	и т.д как	1	1
64	выходит за пределы	1	1
65	точки зрения своего	2	1
66	в то же	5	1
67	не в системе	1	1
68	к тому что	1	1
69	в себя как	1	1
70	как и в	3	1
