N	3gram	Bakhtin_fo_2	Vladivir
1	в том что	3	9
2	в связи с	7	8
3	в то время	1	6
4	о том что	1	3
5	в то же	4	3
6	то же время	4	3
7	в конце концов	1	3
8	в отличие от	1	3
9	с точки зрения	8	3
10	на первый план	2	2
11	в том же	4	2
12	до некоторой степени	1	2
13	как мы видели	1	2
14	в дальнейшем мы	2	2
15	мы будем говорить	1	2
16	не только в	5	2
17	том что он	1	2
18	в свою очередь	1	2
19	в данном случае	1	2
20	у него и	1	1
21	связи с этим	2	1
22	было бы и	1	1
23	это значит что	2	1
24	и для него	1	1
25	в том числе	3	1
26	для него самого	1	1
27	о жизни и	1	1
28	конечно не в	1	1
29	и стремится к	1	1
30	и никому не	1	1
31	они не могут	1	1
32	а также и	1	1
33	и в то	3	1
34	но в то	1	1
35	можно сказать что	1	1
36	с самого начала	1	1
37	больше и больше	1	1
38	равно как и	2	1
39	может быть и	2	1
40	для того чтобы	7	1
41	и в нем	1	1
42	до сих пор	2	1
43	с этим в	1	1
44	мы уже касались	2	1
45	прежде всего нужно	2	1
46	по вопросу о	1	1
47	что в этом	2	1
48	в тех же	1	1
49	в себе в	1	1
50	своей жизни с	1	1
51	там же в	1	1
52	и прежде всего	3	1
53	во франции и	1	1
54	каждый из этих	1	1
55	в этом случае	2	1
56	и никак не	1	1
57	во всех своих	1	1
58	и наконец в	1	1
59	и как бы	1	1
60	и т д	3	1
61	очень важный момент	2	1
62	но только в	1	1
63	как мы уже	4	1
64	но все же	1	1
65	все больше и	1	1
66	не было бы	2	1
67	или вовсе не	1	1
68	то что в	1	1
69	и все его	1	1
70	в этом отношении	2	1
71	уже не только	1	1
72	данном случае мы	1	1
73	со всеми своими	1	1
74	вместе с тем	1	1
75	с двух сторон	1	1
76	наряду с этим	1	1
77	в тот же	1	1
78	мы уже сказали	3	1
79	также и в	1	1
80	с ним в	1	1
81	то время как	1	1
82	такие категории как	1	1
83	не может не	1	1
84	и в них	1	1
85	и жизни как	1	1
86	не может быть	1	1
