N	2gram	Berdyaev_N_1	RusskieA
1	и в	16	36
2	не только	5	22
3	том что	2	19
4	что в	9	19
5	в том	8	17
6	но и	3	16
7	так как	1	15
8	во время	1	14
9	в этом	7	12
10	в xix	1	10
11	и на	2	10
12	в этот	1	10
13	это не	4	10
14	как и	7	10
15	вместе с	2	10
16	потому что	4	10
17	а в	2	9
18	в другие	1	8
19	с тем	3	8
20	у нас	1	8
21	о том	4	8
22	из них	1	8
23	может быть	7	8
24	как это	2	8
25	так и	2	7
26	мы не	2	6
27	не имеет	4	6
28	уже не	2	6
29	в них	4	6
30	и не	11	6
31	все это	5	6
32	будто бы	1	6
33	то что	4	6
34	как в	3	5
35	как будто	2	5
36	и у	1	5
37	еще не	3	4
38	во всех	3	4
39	в эти	1	4
40	в россии	3	4
41	с собой	1	4
42	из этих	1	4
43	что этот	1	4
44	одна из	2	4
45	в русском	2	4
46	к тому	3	4
47	еще в	1	4
48	и что	2	4
49	и их	1	4
50	тем что	1	4
51	и а	1	4
52	по существу	2	4
53	но это	6	4
54	не может	16	4
55	только в	1	4
56	своего рода	1	3
57	в своем	1	3
58	думать что	2	3
59	но все	1	3
60	для них	1	3
61	русского народа	1	3
62	в этих	1	3
63	к тем	1	3
64	их в	1	3
65	не менее	4	3
66	к таким	1	3
67	приводит к	1	3
68	к жизни	3	3
69	не с	1	3
70	а также	1	3
71	связаны с	2	3
72	как например	1	3
73	слова в	1	3
74	к ним	3	3
75	в области	1	3
76	и из	1	3
77	так же	2	3
78	в это	1	3
79	и к	5	3
80	в свою	1	3
81	ко времени	1	3
82	переход от	1	2
83	на западе	1	2
84	еще до	2	2
85	но она	2	2
86	на себя	1	2
87	как не	8	2
88	это время	1	2
89	в ней	5	2
90	но не	2	2
91	значение и	1	2
92	с этим	2	2
93	хотя и	2	2
94	но в	2	2
95	так на	1	2
96	все эти	2	2
97	и до	1	2
98	что она	2	2
99	в нем	5	2
100	не значит	3	2
101	в силу	1	2
102	и с	2	2
103	в жизни	5	2
104	такой же	2	2
105	привело к	1	2
106	и более	1	2
107	для этого	2	2
108	нас к	1	2
109	она не	3	2
110	у него	2	2
111	так называемый	1	2
112	могут быть	2	2
113	ни одно	1	2
114	в более	1	2
115	в образе	1	2
116	с ним	1	2
117	должно было	2	2
118	в его	1	2
119	к ней	1	2
120	значит что	4	2
121	не случайно	1	2
122	их не	1	2
123	это показывает	1	2
124	в большинстве	1	2
125	и нового	1	2
126	не означает	3	2
127	в прошлом	3	2
128	не было	4	2
129	не были	1	2
130	себя и	1	2
131	и пр	3	2
132	не на	1	2
133	а не	17	2
134	большинстве случаев	1	2
135	нет надобности	1	2
136	и потому	4	2
137	только для	1	2
138	к вопросу	1	2
139	и для	4	2
140	мы должны	1	2
141	и начало	3	2
142	же как	2	1
143	только потому	1	1
144	зависимости от	1	1
145	по преимуществу	1	1
146	должна быть	3	1
147	явление он	1	1
148	мы уже	1	1
149	из всех	1	1
150	не во	4	1
151	вопрос о	3	1
152	на место	1	1
153	к новой	1	1
154	говорить о	1	1
155	жизни это	1	1
156	власть над	1	1
157	того же	1	1
158	есть вместе	1	1
159	в отличие	1	1
160	на них	1	1
161	не был	1	1
162	в чем	1	1
163	истории в	5	1
164	с его	6	1
165	он давал	1	1
166	себе и	1	1
167	отличие от	1	1
168	в истории	3	1
169	к новому	7	1
170	от этого	1	1
171	в которой	1	1
172	в час	4	1
173	ни одна	2	1
174	в себе	2	1
175	в употреблении	2	1
176	не имеют	2	1
177	вера в	1	1
178	все другие	1	1
179	он не	8	1
180	применяя к	1	1
181	не к	2	1
182	подобно тому	3	1
183	что все	2	1
184	значение в	1	1
185	всех народов	1	1
186	весь мир	1	1
187	ни в	6	1
188	нет в	1	1
189	к своим	1	1
190	в этой	1	1
191	не всегда	1	1
192	он и	1	1
193	и того	1	1
194	одного и	1	1
195	не будут	2	1
196	но если	1	1
197	во времена	1	1
198	в советской	1	1
199	установить что	1	1
200	место в	2	1
201	не столько	1	1
202	совершенно языческий	1	1
203	дальнейшее развитие	1	1
204	ее на	1	1
205	того времени	1	1
206	не могли	2	1
207	о русском	1	1
208	они сами	1	1
209	был уже	1	1
210	будет восстановить	1	1
211	от своих	1	1
212	дня и	3	1
213	привела к	1	1
214	в то	2	1
215	русский народ	1	1
216	как церковные	1	1
217	не по	1	1
218	в основе	3	1
219	от жизни	1	1
220	до падения	1	1
221	все свои	1	1
222	явление в	1	1
223	власть чем	1	1
224	и его	1	1
225	истории как	1	1
226	ему не	1	1
227	равнодушны к	1	1
228	в духе	3	1
229	и всех	1	1
230	должны быть	1	1
231	обращение к	2	1
232	смысле в	1	1
233	для себя	1	1
234	и это	2	1
235	из их	1	1
236	в виду	1	1
237	россии в	1	1
238	то время	1	1
239	для нового	2	1
240	слова а	1	1
241	можно было	2	1
242	на путь	1	1
243	есть время	1	1
244	и мы	4	1
245	вопрос этот	1	1
246	церкви не	2	1
247	быть может	4	1
248	споров о	1	1
249	стремление к	2	1
250	свидетельствует о	1	1
251	только так	1	1
252	вот почему	2	1
253	теми которые	1	1
254	можно сказать	1	1
255	самым большим	1	1
256	к нему	1	1
257	их совершенно	1	1
258	и во	1	1
259	раньше чем	1	1
260	национальной замкнутости	2	1
261	было бы	1	1
262	совсем не	12	1
263	что он	1	1
264	который в	2	1
265	жизни как	2	1
266	коммунистической партии	1	1
267	том чтобы	2	1
268	вот что	1	1
269	есть в	2	1
270	уже в	1	1
271	обращения к	1	1
272	или не	1	1
273	сами не	1	1
274	день был	1	1
275	земли и	1	1
276	всяком случае	1	1
277	нуждается в	1	1
278	процессы которые	1	1
279	не могут	1	1
280	люди не	2	1
281	от того	1	1
282	перед ними	1	1
283	и духовные	1	1
284	возможно что	1	1
285	которая должна	1	1
286	к которому	1	1
287	на заре	1	1
288	тому как	3	1
289	что не	1	1
290	говорят об	1	1
291	обратиться к	1	1
292	связано с	1	1
293	жизнь в	1	1
294	долгое время	1	1
295	себя на	1	1
296	уже давно	1	1
297	по своему	4	1
298	наряду с	3	1
299	в той	1	1
300	и было	2	1
301	быть не	1	1
302	есть и	1	1
303	что мы	1	1
304	но для	2	1
305	ближе к	1	1
306	только одна	1	1
307	он видел	1	1
308	а к	1	1
309	и все	4	1
310	или нет	1	1
311	церковью и	1	1
312	будто не	1	1
313	но оно	1	1
314	в период	1	1
315	в ночь	1	1
316	на смену	1	1
317	не знает	6	1
318	сказать что	3	1
319	но можно	1	1
320	время но	1	1
321	оно не	1	1
322	через них	1	1
323	всегда была	1	1
324	жизни и	8	1
325	они не	1	1
326	значение они	1	1
327	можно назвать	2	1
328	как на	1	1
329	во всяком	1	1
330	все что	1	1
