N	2gram	Vygotskiy__5	VelikijI
1	и не	6	20
2	и в	30	16
3	так как	9	9
4	то что	37	9
5	еще не	5	8
6	что они	5	7
7	на земле	1	7
8	а не	8	7
9	и потому	5	7
10	не есть	4	6
11	но и	6	5
12	того что	8	5
13	хотя и	1	5
14	все это	2	5
15	что есть	2	5
16	как бы	19	5
17	и есть	5	4
18	в его	4	4
19	мы хотим	2	4
20	в этом	14	4
21	что он	17	4
22	потому что	23	4
23	в нем	7	4
24	так и	3	4
25	что все	6	4
26	что не	1	4
27	как и	6	4
28	что мы	11	4
29	в котором	2	4
30	в ней	4	4
31	и все	4	4
32	это еще	1	4
33	все что	1	4
34	от этого	1	3
35	и что	23	3
36	должна быть	2	3
37	нас и	2	3
38	хотя бы	3	3
39	то это	4	3
40	как не	1	3
41	в чем	1	3
42	с его	2	3
43	во всех	2	3
44	что и	3	3
45	в том	27	3
46	тот же	3	3
47	но в	5	3
48	в вопросе	1	3
49	по этому	5	3
50	все эти	2	3
51	за ним	1	3
52	в конце	4	3
53	их в	1	3
54	в своей	4	3
55	и мы	16	3
56	в жизни	1	3
57	ни в	3	3
58	в них	4	3
59	не было	1	3
60	должно быть	2	3
61	если не	1	3
62	в этих	3	3
63	нет ничего	1	3
64	не в	8	3
65	любовь к	1	3
66	тому что	8	3
67	этих трех	1	3
68	но это	1	3
69	не имеет	1	3
70	никогда не	9	3
71	превращается в	1	3
72	и для	6	3
73	к тому	8	3
74	жизни и	6	3
75	что в	24	3
76	и это	8	2
77	нем нет	1	2
78	того чтобы	20	2
79	и то	9	2
80	но мы	2	2
81	это мы	1	2
82	и т	7	2
83	можно было	3	2
84	и за	1	2
85	мы не	3	2
86	когда в	2	2
87	что от	2	2
88	вместо того	1	2
89	под этим	1	2
90	и во	1	2
91	между тем	1	2
92	нет и	1	2
93	вслед за	1	2
94	которые не	1	2
95	не с	2	2
96	только в	5	2
97	в себя	2	2
98	конечно не	1	2
99	уже не	1	2
100	не только	16	2
101	его и	1	2
102	не так	1	2
103	для него	3	2
104	не к	1	2
105	не могли	4	2
106	тем что	6	2
107	на том	2	2
108	мы слышим	1	2
109	это не	3	2
110	т д	3	2
111	а с	5	2
