N	4gram	Savitsky_E_1	Problema
1	в то время как	1	4
2	бы то ни было	4	3
3	в том смысле что	1	3
4	дело в том что	1	2
5	в той или иной	3	2
6	заключается в том что	2	2
7	к тому или иному	1	1
8	одного и того же	1	1
9	именно к тому что	1	1
10	и то и другое	1	1
11	каких бы то ни	2	1
12	имеет для нас значение	1	1
13	ли здесь говорить о	1	1
14	само по себе не	2	1
15	поскольку речь идет о	1	1
16	с этой точки зрения	5	1
17	так же как и	3	1
18	в ту или иную	1	1
19	на то или иное	1	1
20	в тех случаях когда	1	1
