1	не может быть	4	7
2	до сих пор	4	5
3	с другой стороны	3	5
4	в том что	1	4
5	с одной стороны	3	4
6	на то что	1	4
7	в большинстве случаев	1	4
8	дело в том	1	3
9	по отношению к	1	3
10	друг с другом	1	3
11	но все же	2	3
12	о том что	3	3
13	но и в	4	2
14	то что в	1	2
15	один и тот	1	2
16	и тот же	1	2
17	мы видели что	1	2
18	большей или меньшей	3	2
19	и этот момент	1	1
20	не только в	5	1
21	он как бы	2	1
22	содержит в себе	2	1
23	таким образом и	1	1
24	может быть названо	1	1
25	всем этим явлениям	1	1
26	одной стороны и	1	1
27	это означает что	1	1
28	после того как	1	1
29	не могут быть	1	1
30	того или иного	1	1
31	своей книге о	1	1
32	но все это	1	1
33	шире и глубже	1	1
34	в этом случае	1	1
35	не только с	1	1
36	от этого целого	1	1
37	в тех же	1	1
38	и в особенности	1	1
39	в том чтобы	1	1
40	и даже в	2	1
41	не раньше чем	1	1
42	его отношения к	1	1
43	только тогда когда	1	1
44	в своей книге	2	1
45	в значительной степени	2	1
46	так как если	1	1
47	на самом же	1	1
48	самом же деле	1	1
49	мы знаем что	1	1
50	только то что	2	1
51	в этом отношении	3	1
52	в другом месте	2	1
53	на точку зрения	1	1
54	в большей или	3	1
55	прежде всего в	1	1
56	силу того что	1	1
57	до наших дней	2	1
58	к тому или	1	1
59	в начале книги	1	1
60	она никогда не	1	1
61	в средние века	8	1
62	таким образом в	1	1
63	подобно тому как	2	1
64	в какой степени	1	1
65	там где нет	1	1
66	но он не	1	1
67	образов и мотивов	1	1
68	но в то	3	1
69	не только на	1	1
70	есть только в	1	1
71	для того чтобы	1	1
72	в силу того	1	1
73	до известной степени	1	1
