N	3gram	Bakhtin_sl_1	Vladivir
1	в том что	1	10
2	тем не менее	1	9
3	о том что	1	8
4	с точки зрения	8	6
5	а также и	1	6
6	не может быть	1	6
7	более или менее	3	5
8	и в этом	2	5
9	дело в том	1	5
10	в то время	2	4
11	хотя бы и	3	3
12	бы то ни	1	3
13	во всяком случае	5	3
14	с одной стороны	4	3
15	в то же	12	3
16	и в отношении	1	3
17	в отличие от	1	3
18	как мы видели	1	3
19	оно не может	1	2
20	на самом же	1	2
21	в этом отношении	1	2
22	и в то	5	2
23	он никогда не	1	2
24	в данном случае	3	2
25	то время как	2	2
26	так или иначе	1	2
27	с другой стороны	4	2
28	и в том	2	2
29	самом же деле	1	2
30	то же время	12	2
31	те или иные	3	2
32	здесь у него	1	2
33	к тому что	2	2
34	не может не	5	1
35	а не к	1	1
36	а следовательно и	1	1
37	в сторону и	1	1
38	здесь перед нами	1	1
39	это было бы	1	1
40	перед нами здесь	1	1
41	но оно не	2	1
42	и так сказать	1	1
43	в том и	2	1
44	в этом случае	2	1
45	до сих пор	2	1
46	находится в состоянии	1	1
47	такие слова и	1	1
48	но и здесь	3	1
49	можно было бы	2	1
50	уже не только	1	1
51	не был бы	1	1
52	с этой точки	1	1
53	и не в	1	1
54	у него нет	1	1
55	одно и то	2	1
56	и тем и	1	1
57	ни в какой	1	1
58	может быть и	1	1
59	не могло быть	1	1
60	эти категории и	1	1
61	сам же он	1	1
62	если бы мы	1	1
63	или иные моменты	3	1
64	не только в	2	1
65	то ни было	1	1
66	все дело в	1	1
67	в один ряд	1	1
68	в смысле системы	3	1
69	и то же	2	1
70	в известном смысле	2	1
71	и потому не	1	1
72	в противном случае	1	1
73	одной из самых	1	1
74	потому не может	1	1
75	о которых мы	1	1
76	такая точка зрения	1	1
77	этой точки зрения	1	1
78	тем и другим	1	1
79	с самого начала	1	1
80	не только не	1	1
81	выходит за пределы	3	1
82	той или иной	9	1
83	он еще не	1	1
84	включает в себя	1	1
85	не выходит за	3	1
86	при всем различии	3	1
87	как раз на	1	1
88	не только на	2	1
89	мы видим что	1	1
90	важны прежде всего	1	1
91	для того чтобы	1	1
92	и др не	1	1
