N	3gram	Bakhtin_Pr_3	Morfolog
1	и т д	2	47
2	в этом случае	2	9
3	не может быть	6	8
4	подобно тому как	2	5
5	по отношению к	5	4
6	с точки зрения	4	4
7	с другой стороны	3	4
8	тем не менее	2	4
9	на самом деле	10	3
10	но все же	1	3
11	как и в	1	3
12	и в других	1	2
13	может быть и	1	2
14	действующих лиц в	1	2
15	друг на друга	2	2
16	в большинстве случаев	2	2
17	для того чтобы	1	2
18	в том что	1	2
19	т д он	1	2
20	хотя и не	1	1
21	с ними и	1	1
22	а вовсе не	2	1
23	и выдает себя	1	1
24	самого начала в	1	1
25	как в начале	1	1
26	что же касается	1	1
27	как бы в	1	1
28	точки зрения его	1	1
29	бы они ни	1	1
30	до сих пор	1	1
31	во всей своей	1	1
32	к другому что	1	1
33	бы то ни	4	1
34	что он говорил	1	1
35	не зная о	1	1
36	он как бы	1	1
37	выдает себя за	1	1
38	одно и то	1	1
39	герой не может	1	1
40	в данном случае	1	1
41	на одном месте	1	1
42	и заставляет его	1	1
43	все же очень	1	1
44	так же не	1	1
45	и то же	1	1
46	не входит в	2	1
47	то что он	1	1
48	все более и	1	1
49	сестры и т	1	1
50	во всяком случае	5	1
51	потому что они	1	1
52	друг к другу	1	1
53	диалог ивана с	3	1
54	то же время	12	1
55	из которых каждый	1	1
56	и как будто	1	1
57	все эти явления	1	1
58	героя и для	1	1
59	о том что	2	1
60	с самого начала	8	1
61	он не может	3	1
62	той или иной	2	1
63	можно сказать что	1	1
64	или во всяком	1	1
65	они ни были	1	1
66	на то что	1	1
67	в то же	12	1
68	более и более	1	1
69	к тому что	1	1
70	друг с другом	2	1
71	то что они	1	1
72	на друга что	1	1
73	но в этом	1	1
74	что и в	1	1
75	того или другого	2	1
