N	3gram	Potebnia_M_3	OGranits
1	не может быть	3	4
2	до тех пор	1	4
3	по отношению к	5	3
4	одно и то	5	3
5	представим себе что	1	2
6	в самом деле	1	2
7	в данном случае	1	2
8	с одной стороны	3	2
9	и то же	5	2
10	с другой стороны	4	2
11	то же слово	2	2
12	ничего общего с	1	2
13	в том что	16	2
14	точки зрения и	1	1
15	один и тот	1	1
16	только потому что	2	1
17	в чем же	1	1
18	там где нет	1	1
19	более или менее	3	1
20	равно как и	1	1
21	на самом деле	1	1
22	подобно тому как	2	1
23	и в каждой	2	1
24	при этом следует	1	1
25	те же самые	1	1
26	то же самое	1	1
27	нам кажется что	1	1
28	никто не думает	1	1
29	художественного произведения и	1	1
30	в сознании и	2	1
31	только то что	1	1
32	в этом отношении	2	1
33	язык во всем	1	1
34	в собственном смысле	2	1
35	по себе а	4	1
36	и тем что	1	1
37	так как все	1	1
38	явления природы и	1	1
39	для того чтобы	3	1
40	может быть не	1	1
41	далеко не всегда	1	1
42	если бы мы	1	1
43	сводятся к следующему	1	1
44	и тот же	1	1
45	тем не менее	3	1
46	может быть объяснено	1	1
47	а не как	1	1
48	само по себе	3	1
49	это и не	1	1
50	и эта особенность	1	1
51	все то что	1	1
52	потому что они	1	1
53	до такой степени	1	1
54	во всем своем	1	1
55	но столь же	1	1
56	то же время	5	1
57	но тем не	2	1
58	мы не можем	2	1
59	что в ней	2	1
60	заключена только в	1	1
61	в которую не	1	1
62	для него прежде	1	1
63	очевидного положения что	1	1
64	но что же	1	1
65	возможно только в	2	1
66	на то что	1	1
67	в то же	5	1
68	в каждом отдельном	1	1
69	к тому что	2	1
70	уже из того	1	1
71	как и в	2	1
