N	3gram	Voloshinov_1	Mirosoze
1	не может быть	4	17
2	не было бы	1	5
3	и вместе с	1	4
4	и уж конечно	1	2
5	прежде всего в	1	2
6	по отношению к	3	2
7	и не может	1	2
8	на том основании	1	2
9	том основании что	1	2
10	для того чтобы	1	2
11	что иное как	2	1
12	нет и не	1	1
13	а вовсе не	1	1
14	в которых он	1	1
15	с одним из	1	1
16	в самом деле	2	1
17	в зависимости от	2	1
18	в отличие от	1	1
19	может быть и	1	1
20	что в основе	1	1
21	быть и речи	1	1
22	в этот момент	1	1
23	между тем как	1	1
24	не мог бы	1	1
25	в разных местах	1	1
26	быть может в	1	1
27	выйти за пределы	1	1
28	и никогда не	1	1
29	зависимости от этого	2	1
30	нужно сказать что	1	1
31	но не менее	1	1
32	есть прежде всего	3	1
33	не что иное	2	1
34	можно было бы	1	1
35	в том что	2	1
36	выходит за пределы	1	1
