N	2gram	Tiupa_Teor_1	VelikijI
1	и не	13	20
2	и в	18	16
3	свободы и	1	12
4	так как	1	9
5	то что	3	9
6	еще не	4	8
7	что они	1	7
8	на земле	1	7
9	а не	9	7
10	и потому	2	7
11	человека и	1	6
12	на себя	2	5
13	но и	9	5
14	по пути	3	5
15	того что	4	5
16	хотя и	3	5
17	в мире	19	5
18	все это	2	5
19	как бы	5	5
20	о счастье	1	5
21	говорить о	3	4
22	во мне	2	4
23	в его	6	4
24	и я	1	4
25	в этом	8	4
26	что он	1	4
27	потому что	3	4
28	в нем	4	4
29	так и	10	4
30	что все	1	4
31	что не	1	4
32	как и	4	4
33	мировой жизни	1	4
34	это еще	1	4
35	все что	1	4
36	этого мира	1	3
37	и что	3	3
38	восстает против	1	3
39	лишь в	6	3
40	в чем	1	3
41	с его	5	3
42	во всех	1	3
43	что и	2	3
44	в том	16	3
45	тот же	1	3
46	но в	9	3
47	по этому	1	3
48	все эти	2	3
49	в конце	2	3
50	их в	3	3
51	в своей	6	3
52	в жизни	2	3
53	ни в	2	3
54	в них	2	3
55	не было	1	3
56	должно быть	1	3
57	если не	1	3
58	в этих	3	3
59	не в	7	3
60	к чему	2	3
61	тому что	2	3
62	к бытию	1	3
63	никогда не	4	3
64	личности и	4	3
65	превращается в	2	3
66	и для	2	3
67	к тому	2	3
68	что в	9	3
69	оно не	1	3
70	а между	1	2
71	и это	2	2
72	того чтобы	1	2
73	и то	2	2
74	от своей	1	2
75	и сам	1	2
76	можно было	1	2
77	и свободы	1	2
78	что от	1	2
79	освобождения от	1	2
80	к нам	2	2
81	между тем	5	2
82	я думаю	1	2
83	ивана карамазова	1	2
84	вслед за	2	2
85	не с	3	2
86	человека как	1	2
87	духа и	1	2
88	только в	6	2
89	личности а	1	2
90	в себя	3	2
91	уже не	4	2
92	не только	16	2
93	для него	2	2
94	в прошлом	1	2
95	не могли	1	2
96	своей свободы	1	2
97	тем что	1	2
98	не будет	2	2
99	послужить материалом	1	2
100	это не	2	2
101	а с	3	2
102	прежде всего	2	2
103	с тем	1	2
104	один из	2	2
105	от свободы	2	2
106	мира в	1	2
107	когда я	1	2
108	более чем	1	2
109	не могут	2	2
110	является в	1	2
111	значения и	2	2
112	ведет по	1	2
113	личность как	1	2
114	том что	9	2
115	тот кто	2	2
116	в форме	2	2
117	и теперь	1	2
118	ее в	2	2
119	а в	13	2
120	но не	9	2
121	могут быть	4	2
122	кто бы	1	1
123	как мы	1	1
124	быть может	1	1
125	в виду	5	1
126	для себя	1	1
127	в ее	5	1
128	ты и	1	1
129	этой тайны	1	1
130	в словах	1	1
131	и до	1	1
132	роль в	2	1
133	свое место	1	1
134	значение в	1	1
135	то же	7	1
136	человеческого бытия	2	1
137	из всего	1	1
138	нам уже	1	1
139	с внутренним	1	1
140	в результате	1	1
141	ибо к	1	1
142	вопрос о	1	1
143	не была	1	1
144	я не	2	1
145	и ее	3	1
146	о судьбе	1	1
147	меня в	1	1
148	думаю что	1	1
149	в их	2	1
150	личностью и	1	1
151	и на	1	1
152	после того	1	1
153	и который	2	1
154	бы то	1	1
155	это имеет	1	1
156	к нему	1	1
157	ее к	1	1
158	но как	1	1
159	утверждения ее	1	1
160	если в	2	1
161	с которыми	1	1
162	тогда как	15	1
163	бы в	1	1
164	крайней мере	1	1
165	мире и	2	1
166	как в	5	1
167	и мир	1	1
168	и пусть	1	1
169	это ни	1	1
170	в своем	4	1
171	известном смысле	1	1
172	но с	1	1
173	д и	1	1
174	для таких	1	1
175	в двух	1	1
176	могли бы	2	1
177	мы видим	1	1
178	и создал	1	1
179	с ними	1	1
180	и свою	1	1
181	со своей	3	1
182	в самом	4	1
183	в которой	2	1
184	образа в	1	1
185	что это	1	1
186	бы ни	1	1
187	небытию в	1	1
188	в целом	3	1
189	их не	1	1
190	теперь в	1	1
191	в этой	3	1
192	в известном	1	1
193	это тот	1	1
194	свободы но	2	1
195	я в	16	1
196	в которую	1	1
197	но прежде	1	1
198	слова не	1	1
199	или даже	4	1
200	и внешнее	1	1
201	чего бы	1	1
202	говорит что	2	1
203	человеческого духа	1	1
204	и вот	3	1
205	вовсе не	3	1
206	отношение к	5	1
207	у него	1	1
208	не случайно	5	1
209	этом мире	2	1
210	и по	2	1
211	на этом	1	1
212	переход к	1	1
213	ее на	1	1
214	на нее	1	1
215	для того	1	1
216	им по	1	1
217	то ни	1	1
218	с другой	7	1
219	художественный образ	1	1
220	его личности	1	1
221	есть не	1	1
222	в следующих	1	1
223	к миру	1	1
224	еще и	1	1
225	весь мир	1	1
226	и тем	3	1
227	нового времени	3	1
228	говорит о	1	1
229	она и	1	1
230	человеческой жизни	1	1
231	с которым	1	1
232	жизнь в	1	1
233	жизни но	2	1
234	о чем	1	1
235	в бытии	1	1
236	но лишено	1	1
237	в одно	2	1
238	стороны в	1	1
239	только мы	1	1
240	места в	1	1
241	что свобода	1	1
242	таким же	1	1
243	себя за	1	1
244	вместе с	2	1
245	так же	2	1
246	как это	8	1
247	человека к	3	1
248	счастье но	1	1
249	то есть	12	1
250	мы в	2	1
251	у нас	2	1
252	хотят скрыть	1	1
253	ведет к	1	1
254	в одном	2	1
255	но я	1	1
256	его воли	1	1
257	в мир	1	1
258	по крайней	1	1
259	свобода и	1	1
260	если нет	1	1
261	этого слова	3	1
262	с бытием	1	1
263	и внешней	3	1
264	из нас	1	1
265	другом но	1	1
266	к ним	1	1
267	о мире	1	1
268	на котором	1	1
269	не по	1	1
270	свободу личности	1	1
271	но она	2	1
272	не существует	1	1
273	и от	1	1
274	нельзя не	1	1
275	мира и	1	1
276	которая в	1	1
277	жизни не	1	1
278	может быть	17	1
279	в третьем	1	1
280	в русском	1	1
281	с отвращением	1	1
282	в мировом	1	1
283	к жизни	2	1
284	жизни в	2	1
285	ничего нельзя	1	1
286	о своем	2	1
287	другой стороны	5	1
288	возможно в	1	1
289	тайны и	1	1
290	и развитием	1	1
291	его с	1	1
292	себя только	1	1
293	всего что	1	1
294	в искусстве	6	1
295	и другие	2	1
296	в своих	1	1
297	слова с	1	1
