N	3gram	Vinokur_St_3	slovoVRo
1	и т п	6	33
2	не может быть	5	15
3	с одной стороны	2	5
4	той или иной	1	5
5	то же время	3	4
6	в том что	11	4
7	в то же	3	4
8	но все же	2	4
9	в этом отношении	4	3
10	в той или	1	3
11	в собственном смысле	1	3
12	с точки зрения	4	3
13	в мировой литературе	3	2
14	несколько слов о	1	2
15	во всяком случае	4	2
16	для того чтобы	1	2
17	до сих пор	2	2
18	там где они	1	2
19	и т д	2	2
20	не только в	3	2
21	более или менее	1	2
22	в связи с	3	2
23	т п в	1	2
24	в этих формах	2	2
25	т п но	1	2
26	в свою очередь	1	2
27	всегда в той	1	1
28	в чем же	1	1
29	с самого начала	2	1
30	на протяжении всего	1	1
31	о том что	4	1
32	и др но	2	1
33	между тем как	2	1
34	и не в	2	1
35	xix века на	1	1
36	это не может	1	1
37	не только не	1	1
38	но может быть	1	1
39	форм всегда стремится	1	1
40	отношение к слову	1	1
41	на этой почве	1	1
42	говорит о том	1	1
43	с другой стороны	4	1
44	иметь в виду	1	1
45	можно сказать так	1	1
46	в другом случае	1	1
47	подчеркнуть что в	1	1
48	тем или иным	1	1
49	тем как в	1	1
50	вместе с ним	1	1
51	как мы видели	1	1
52	более и более	2	1
53	и может быть	1	1
54	на то что	3	1
55	и ни в	1	1
56	таким образом в	1	1
57	речь идет о	1	1
58	в виде вставных	1	1
59	выступает здесь как	1	1
60	связанные с этим	1	1
61	не менее в	1	1
62	в применении к	1	1
63	все же он	1	1
64	с ним и	1	1
65	а лишь о	1	1
66	и своеобразное место	1	1
67	в лучшем случае	1	1
68	даже там где	1	1
69	но и в	2	1
70	не может не	1	1
71	в этом направлении	1	1
72	в этом жанре	1	1
73	том что он	1	1
74	а не в	1	1
75	в известной степени	1	1
76	как например в	4	1
77	во всех этих	2	1
78	все более и	2	1
79	тем не менее	2	1
80	проявляется в том	1	1
