N	2gram	Nazirov_Tr_1	Marksizm
1	может быть	7	28
2	и в	18	19
3	как бы	7	19
4	и не	7	19
5	не может	5	18
6	то же	5	16
7	и его	6	16
8	как мы	1	15
9	в этом	9	15
10	так сказать	1	14
11	таким образом	1	14
12	лишь в	1	14
13	не только	8	13
14	связи с	1	13
15	в нем	4	11
16	не в	2	10
17	речи в	1	10
18	так и	5	10
19	но и	4	10
20	том что	4	10
21	самом деле	1	9
22	при этом	3	9
23	как и	5	9
24	для него	3	9
25	и чужой	1	9
26	а не	1	9
27	с его	2	8
28	в то	5	8
29	же время	6	8
30	только в	1	8
31	слова в	1	8
32	отнюдь не	3	8
33	не является	1	8
34	его в	2	7
35	одна из	2	7
36	никогда не	2	7
37	в том	2	7
38	прежде всего	4	7
39	в связи	1	7
40	но в	6	7
41	в таком	2	7
42	во всех	1	6
43	и как	3	6
44	в самом	2	6
45	ни в	2	6
46	того чтобы	1	6
47	к тому	2	6
48	между тем	1	6
49	с помощью	1	6
50	и все	4	6
51	хотя бы	1	6
52	и на	7	5
53	все же	5	5
54	лишь на	1	5
55	в данном	2	5
56	самого начала	1	5
57	с самого	1	5
58	и здесь	2	5
59	к нему	3	5
60	в его	3	5
61	в форме	1	5
62	в той	1	5
63	этого слова	1	5
64	совершенно не	1	5
65	так же	4	5
66	должна быть	1	4
67	а как	2	4
68	и ее	2	4
69	только на	1	4
70	в себе	4	4
71	это не	5	4
72	этой связи	1	4
73	тому что	1	4
74	ничего не	2	4
75	и т.д	1	4
76	в русском	2	4
77	того что	1	4
78	с ними	1	4
79	что он	6	4
80	в душе	2	4
81	и их	1	4
82	– в	1	4
83	смысле этого	1	4
84	в основном	3	4
85	бы в	1	4
86	то что	4	4
87	если б	2	3
88	и то	2	3
89	в котором	1	3
90	и до	2	3
91	исходит из	1	3
92	высшей степени	1	3
93	в становлении	1	3
94	в ней	1	3
95	еще не	4	3
96	столь же	2	3
97	в ее	2	3
98	отличие от	2	3
99	за пределы	1	3
100	чем же	1	3
101	в истории	1	3
102	перед нами	2	3
103	все эти	3	3
104	в этой	4	3
105	он не	2	3
106	не к	1	3
107	не как	1	3
108	здесь мы	1	3
109	в другом	1	3
110	конечно в	1	3
111	той же	1	3
112	по себе	1	3
113	в своей	1	3
114	в отличие	2	3
115	не имеет	2	3
116	же слова	1	3
117	могут быть	1	3
118	не есть	1	3
119	и это	2	3
120	о том	2	3
121	что и	2	3
122	в двух	1	3
123	с одной	1	3
