N	2gram	Savitsky_P_1	Myshleni
1	в этом	10	29
2	точки зрения	3	28
3	и в	14	26
4	не только	17	24
5	то что	4	24
6	с точки	3	21
7	представляет собой	1	19
8	того чтобы	1	19
9	для того	3	18
10	в том	9	18
11	и не	12	18
12	том что	4	17
13	потому что	3	16
14	как и	1	15
15	того что	2	14
16	так же	1	14
17	в ходе	1	12
18	вместе с	1	12
19	что в	4	12
20	мысли и	1	11
21	в которой	1	11
22	но и	6	11
23	не может	4	11
24	в развитии	1	10
25	в самом	1	9
26	в себе	3	9
27	по сравнению	2	9
28	что мы	3	9
29	же как	1	8
30	то же	9	8
31	только в	7	8
32	сравнению с	1	8
33	тем самым	3	8
34	и то	1	7
35	мы не	3	7
36	и к	4	7
37	может быть	5	7
38	прежде всего	3	7
39	вопрос о	1	6
40	во всех	2	6
41	все же	1	6
42	и слова	1	6
43	что это	1	6
44	было бы	6	6
45	и тем	2	6
46	в ее	2	6
47	что эта	1	6
48	и что	1	6
49	заключается в	3	6
50	связь между	1	6
51	в какой	1	6
52	иначе как	1	6
53	именно в	2	6
54	а не	2	6
55	как бы	4	6
56	в смысле	6	6
57	мы должны	4	6
58	как на	2	6
59	тем же	1	5
60	из всех	1	5
61	оно есть	1	5
62	могли бы	1	5
63	в силу	2	5
64	и с	2	5
65	с тем	3	5
66	она не	1	5
67	что с	1	5
68	тогда когда	1	5
69	никак не	2	5
70	является в	2	5
71	если бы	4	5
72	как она	1	5
73	с одной	3	5
74	в качестве	9	5
75	если мы	1	5
76	в начале	2	5
77	одно из	1	5
78	одной стороны	3	5
79	в данном	1	5
80	только что	1	5
81	еще не	1	4
82	с другой	5	4
83	если в	2	4
84	стороны и	2	4
85	но в	9	4
86	на то	1	4
87	в наших	1	4
88	в котором	4	4
89	не в	5	4
90	не менее	2	4
91	никогда не	1	4
92	в области	11	4
93	в момент	1	4
94	что оно	1	4
95	не есть	1	4
96	в его	2	4
97	и только	1	4
98	в свете	1	4
