N	4gram	Vinokur_St_1	Formalny
1	в то же время	4	5
2	не может быть и	1	3
3	может быть и речи	1	3
4	и в то же	1	3
5	и в этом отношении	1	2
6	в том смысле что	1	2
7	этого прежде всего необходимо	1	1
8	что же это за	1	1
9	в той мере в	1	1
10	может быть даже и	1	1
11	и т п в	3	1
12	той мере в какой	1	1
13	только в том случае	1	1
14	не говоря уже о	1	1
15	для этого прежде всего	1	1
16	то же время не	1	1
17	во что бы то	1	1
18	языка не может быть	1	1
19	во всяком случае в	2	1
20	и в этом случае	2	1
21	но в то же	2	1
22	что бы то ни	1	1
23	не выходя за пределы	1	1
24	бы то ни стало	1	1
