N	3gram	Tiupa_Narr_1	Sovremen
1	мы не можем	1	6
2	с точки зрения	1	5
3	в зависимости от	2	4
4	не может быть	4	4
5	тем не менее	3	2
6	друг с другом	1	2
7	во всяком случае	2	2
8	в отличие от	2	2
9	в свою очередь	2	2
10	не подлежит сомнению	1	2
11	может быть и	1	2
12	то же самое	2	2
13	что иное как	1	1
14	в известном смысле	2	1
15	которая не может	1	1
16	по крайней мере	1	1
17	случае не подлежит	1	1
18	в связи с	2	1
19	он уже не	1	1
20	какой бы то	1	1
21	дело в том	2	1
22	по отношению к	3	1
23	одна и та	1	1
24	на самом деле	1	1
25	один и тот	1	1
26	и все же	2	1
27	с и т.д	1	1
28	и еще более	1	1
29	до сих пор	2	1
30	то же время	4	1
31	и в то	1	1
32	сами по себе	2	1
33	друг на друга	2	1
34	бы то ни	1	1
35	и та же	1	1
36	мы не знаем	1	1
37	в конечном счете	1	1
38	заключает в себе	2	1
39	на две половины	1	1
40	и не может	1	1
41	в самом деле	2	1
42	той или иной	4	1
43	но все же	1	1
44	одна из них	1	1
45	в том случае	1	1
46	в то же	4	1
47	из этих двух	2	1
48	к нему иначе	1	1
49	при которой он	1	1
50	мы уже знаем	1	1
51	в том что	5	1
52	в данном случае	8	1
53	к чему мы	1	1
54	на другой день	3	1
55	то ни было	1	1
56	в предыдущей главе	1	1
57	с одной стороны	1	1
58	на этот раз	1	1
59	и тот же	1	1
