N	3gram	Medvedev_V_1	Myslijsy
1	в том что	5	13
2	по отношению к	7	13
3	не может быть	8	9
4	только в том	2	6
5	с другой стороны	8	5
6	только тогда когда	1	4
7	не в том	2	4
8	в этом смысле	1	4
9	и т д	14	4
10	в том смысле	1	4
11	по его мнению	1	4
12	но и в	1	4
13	в свою очередь	1	4
14	подобно тому как	2	3
15	а в том	1	3
16	в то же	5	3
17	с одной стороны	2	3
18	в противном случае	2	3
19	а между тем	1	3
20	не только в	2	3
21	сама по себе	1	3
22	то же время	5	3
23	не только для	1	2
24	и том же	2	2
25	не только не	2	2
26	но и для	1	2
27	и т п	9	2
28	в таком случае	1	2
29	к тому что	3	2
30	но с другой	1	2
31	одном и том	2	2
32	по крайней мере	2	2
33	не могло бы	1	2
34	и может быть	1	2
35	служит для него	1	2
36	в применении к	1	2
37	не могут быть	1	2
38	в одном и	1	2
39	все то что	1	2
40	заключает в себе	1	2
41	на этот вопрос	1	2
42	для того чтобы	3	2
43	о том что	3	1
44	том смысле что	1	1
45	так же как	1	1
46	а не по	1	1
47	что совокупность понятий	1	1
48	в одном из	3	1
49	имеет свою историю	1	1
50	вопрос о том	1	1
51	что в них	1	1
52	не по частям	1	1
53	в связи с	3	1
54	мы видели что	3	1
55	может быть выражена	1	1
56	до сих пор	1	1
57	чтобы не впасть	1	1
58	и связанное с	1	1
59	то все же	1	1
60	нашего познания и	1	1
61	того или другого	1	1
62	как если бы	1	1
63	к более легким	1	1
64	между этими двумя	1	1
65	таким образом уже	1	1
66	в то время	1	1
67	можно было бы	2	1
68	лицом к лицу	1	1
69	в каждом отдельном	2	1
70	таким образом в	2	1
71	другой стороны он	1	1
72	более или менее	6	1
73	не было бы	4	1
74	хотим сказать что	1	1
75	в этом отношении	13	1
76	сами по себе	1	1
77	говоря уже о	1	1
78	одной стороны и	2	1
79	только то что	2	1
80	мы хотим сказать	1	1
81	от того что	2	1
82	не впасть в	1	1
83	между ними нет	1	1
84	то что в	1	1
85	не говоря уже	1	1
86	доказывается тем что	1	1
87	именно эти формы	1	1
88	может быть признана	1	1
89	что все они	1	1
90	них не было	1	1
91	что мы имеем	1	1
92	уже о том	1	1
93	вместе с этим	1	1
94	с этой точки	1	1
95	после того как	1	1
96	в ней не	1	1
97	во всяком случае	1	1
98	именно в том	1	1
99	этой точки зрения	2	1
100	могло бы быть	1	1
101	что во всех	1	1
102	потому что самое	1	1
103	связанное с ними	1	1
104	того что не	1	1
