N	2gram	Tiupa_Disk_1	VelikijI
1	и не	11	20
2	и в	16	16
3	то что	5	9
4	еще не	14	8
5	в истории	4	8
6	что они	1	7
7	на земле	1	7
8	а не	22	7
9	и потому	3	7
10	не есть	2	6
11	на себя	2	5
12	но и	14	5
13	того что	3	5
14	хотя и	2	5
15	в мире	1	5
16	как бы	5	5
17	и есть	2	4
18	говорить о	1	4
19	во мне	3	4
20	в его	7	4
21	нет у	1	4
22	в этом	15	4
23	что он	4	4
24	потому что	4	4
25	в нем	9	4
26	так и	8	4
27	что не	4	4
28	как и	16	4
29	в котором	5	4
30	мировой жизни	1	4
31	и все	2	4
32	от этого	1	3
33	и что	2	3
34	хотя бы	3	3
35	как не	3	3
36	лишь в	4	3
37	в чем	1	3
38	с его	4	3
39	во всех	5	3
40	что и	3	3
41	в том	23	3
42	но в	8	3
43	бы и	1	3
44	за ним	1	3
45	они в	1	3
46	в конце	1	3
47	в своей	5	3
48	и мы	1	3
49	в жизни	1	3
50	в них	4	3
51	не было	7	3
52	в этих	1	3
53	что во	1	3
54	в первый	1	3
55	не в	7	3
56	к чему	1	3
57	но это	1	3
58	не имеет	1	3
59	никогда не	2	3
60	личности и	1	3
61	к тому	5	3
62	что в	4	3
63	оно не	2	3
64	и это	1	2
65	нем нет	1	2
66	и то	1	2
67	от своей	1	2
68	и сам	1	2
69	и за	1	2
70	мы не	1	2
71	и во	2	2
72	и будут	1	2
73	между тем	4	2
74	нет и	1	2
75	вслед за	1	2
76	не с	3	2
77	человека как	1	2
78	его к	1	2
79	только в	7	2
80	в себя	5	2
81	уже не	4	2
82	не только	28	2
83	его и	1	2
84	для него	4	2
85	не к	1	2
86	в прошлом	1	2
87	не могли	1	2
88	тем что	3	2
89	на том	2	2
90	не будет	1	2
91	это не	3	2
92	а с	5	2
93	прежде всего	11	2
94	для них	1	2
95	с тем	1	2
96	мы и	1	2
97	сознания от	1	2
98	один из	3	2
99	мира в	3	2
100	более чем	2	2
101	не могут	1	2
102	значения и	1	2
103	тем кто	2	2
104	мир и	1	2
105	что было	1	2
106	да и	1	2
107	том что	19	2
108	а к	1	2
109	в форме	2	2
110	и теперь	1	2
111	они и	3	2
112	не создает	1	2
113	а в	5	2
114	но не	11	2
115	могут быть	4	2
116	всего в	1	2
117	во всяком	2	2
118	речь идет	1	1
119	как мы	2	1
120	в виду	2	1
121	проявляется как	1	1
122	для себя	4	1
123	в ее	3	1
124	в словах	1	1
125	и до	1	1
126	роль в	7	1
127	он осуществляет	1	1
128	он всегда	2	1
129	не имеют	1	1
130	значение в	1	1
131	которое может	1	1
132	то же	7	1
133	это он	1	1
134	живет в	1	1
135	человеческого бытия	1	1
136	в результате	1	1
137	вопрос о	1	1
138	основана на	1	1
139	и вообще	2	1
140	я не	1	1
141	и ее	2	1
142	не был	1	1
143	в их	5	1
144	и на	5	1
145	теперь и	1	1
146	пока они	1	1
147	истории в	1	1
148	к нему	1	1
149	ее к	1	1
150	но как	2	1
151	если в	1	1
152	присутствует в	1	1
153	в новом	2	1
154	а потому	1	1
155	тогда как	19	1
156	что человек	1	1
157	себе и	1	1
158	крайней мере	2	1
159	это лишь	1	1
160	и чем	1	1
161	о красоте	1	1
162	его на	1	1
163	как в	10	1
164	в своем	6	1
165	известном смысле	1	1
166	все же	3	1
167	с ними	1	1
168	разные конкретные	1	1
169	в разные	2	1
170	со своей	1	1
171	в самом	3	1
172	у них	1	1
173	в которой	1	1
174	что это	1	1
175	имеет своим	1	1
176	в целом	4	1
177	современной культуры	2	1
178	личности по	1	1
179	в этой	2	1
180	в известном	1	1
181	я в	1	1
182	уже в	2	1
183	жизнь как	1	1
184	то и	1	1
185	в виде	1	1
186	в исторических	1	1
187	по словам	2	1
188	слова не	1	1
189	или даже	2	1
190	но от	1	1
191	в теоретическом	1	1
192	в понимании	1	1
193	чем у	1	1
194	отношение к	4	1
195	нашего времени	1	1
196	не случайно	1	1
197	и по	2	1
198	на этом	2	1
199	человека в	2	1
200	бы это	2	1
201	в едином	2	1
202	а его	1	1
203	себя не	1	1
204	с другой	10	1
205	этом пути	1	1
206	еще и	1	1
207	и тем	2	1
208	нового времени	1	1
209	говорит о	1	1
210	может ли	1	1
211	на которых	1	1
212	ничем не	1	1
213	не всегда	2	1
214	о чем	2	1
215	и было	2	1
216	мировой истории	1	1
217	в речах	1	1
218	в одно	1	1
219	разные эпохи	1	1
220	богами и	1	1
221	таким же	1	1
222	вместе с	1	1
223	как это	1	1
224	человека к	1	1
225	то есть	20	1
226	их к	1	1
227	в которых	4	1
228	он говорит	1	1
229	если оно	1	1
230	и ведет	1	1
231	ведет к	3	1
232	в одном	2	1
233	по крайней	2	1
234	красоте и	1	1
235	этого слова	1	1
236	с этой	1	1
237	раз и	1	1
238	на разных	1	1
239	и нет	1	1
240	как можно	1	1
241	к ним	3	1
242	о мире	1	1
243	не по	1	1
244	указать на	1	1
245	но она	1	1
246	мы все	1	1
247	и слишком	1	1
248	не существует	1	1
249	и от	1	1
250	нельзя не	2	1
251	это как	1	1
252	которая в	1	1
253	может быть	17	1
254	вообще в	1	1
255	во всем	1	1
256	будто бы	2	1
257	это слово	1	1
258	в мировом	1	1
259	в новых	1	1
260	на него	1	1
261	наших дней	2	1
262	из сторон	1	1
263	жизни в	2	1
264	что на	1	1
265	может и	2	1
266	ничего нельзя	1	1
267	другой стороны	3	1
268	но все	1	1
