N	3gram	Bakhtin_Pr_2	Literetu
1	то же время	3	9
2	в то же	3	9
3	не может быть	6	7
4	в том что	4	5
5	с другой стороны	1	4
6	с точки зрения	9	3
7	в этом отношении	2	3
8	в данном случае	1	3
9	по отношению к	8	3
10	но с другой	1	3
11	о том что	3	2
12	подобно тому как	2	2
13	в этом случае	1	2
14	в русской литературе	2	2
15	по крайней мере	2	2
16	в равной степени	1	2
17	в свое время	2	2
18	в том числе	2	2
19	тем не менее	1	2
20	не так как	1	2
21	и в сущности	1	1
22	такого героя и	1	1
23	в своих границах	1	1
24	нет и не	1	1
25	в плену в	1	1
26	как и для	1	1
27	что же касается	1	1
28	он не может	1	1
29	и не может	2	1
30	что он не	1	1
31	в отличие от	1	1
32	является одним из	1	1
33	же время не	1	1
34	том числе и	2	1
35	можно было бы	1	1
36	у него нет	2	1
37	мышления о мире	1	1
38	жизни и в	1	1
39	даже и не	1	1
40	первого и второго	1	1
41	в самом начале	3	1
42	ничего общего с	1	1
43	в конце концов	3	1
44	имеет ничего общего	1	1
45	и в пределах	1	1
46	прежде всего в	1	1
47	я не могу	1	1
48	в целом ряде	2	1
49	не имеет ничего	1	1
50	этой точки зрения	2	1
51	и некоторые другие	1	1
52	на самом деле	1	1
53	в одном из	1	1
54	то есть в	8	1
55	в жизни а	1	1
56	не ждет от	1	1
57	той или иной	3	1
58	как и сам	1	1
59	с ним а	2	1
60	в художественном мире	2	1
61	тех или иных	1	1
62	вовсе не является	1	1
63	быть не может	1	1
64	для того чтобы	1	1
65	дерево жизни и	1	1
66	а не так	1	1
67	ее и в	1	1
68	как мы видели	3	1
