N	2gram	Bakhtin_Pr_1	BTomashe
1	у нас	1	3
2	и не	31	2
3	все это	6	2
4	в ней	2	2
5	литературных произведений	1	2
6	видеть в	1	2
7	можно было	2	2
8	не то	1	2
9	выпадает из	1	1
10	крайней мере	1	1
11	художественного произведения	1	1
12	же не	2	1
13	за пределы	7	1
14	не укладывается	2	1
15	также что	1	1
16	позиции на	1	1
17	будто бы	1	1
18	об этом	1	1
19	и в	29	1
20	и о	5	1
21	выходит за	1	1
22	что все	1	1
23	с другой	3	1
24	в своей	8	1
25	своей книге	1	1
26	на самом	5	1
27	на которой	1	1
28	как будто	3	1
29	не следует	1	1
30	и нет	2	1
31	было бы	5	1
32	все же	9	1
33	художественная функция	1	1
34	всяком случае	3	1
35	по этим	1	1
36	а о	1	1
37	кроме того	3	1
38	никак не	2	1
39	между ними	2	1
40	точке зрения	3	1
41	еще не	5	1
42	художественном произведении	1	1
43	и на	7	1
44	в пределах	13	1
45	представляется нам	2	1
46	одной из	1	1
47	должна быть	5	1
48	прежде всего	7	1
49	автором не	1	1
50	в данном	2	1
51	и во	2	1
52	так и	7	1
53	не было	4	1
54	в книге	1	1
55	его не	1	1
56	является только	1	1
57	совершенно не	1	1
58	далеко не	3	1
59	не о	2	1
60	всего в	1	1
61	до конца	8	1
62	стиля и	4	1
63	почти совершенно	1	1
64	а не	22	1
65	что в	8	1
66	в области	1	1
67	другой стороны	3	1
68	также не	2	1
69	говорить об	1	1
70	и ее	2	1
71	приемов построения	1	1
72	не все	1	1
73	произведения все	1	1
74	по крайней	1	1
75	таким образом	12	1
76	вопрос о	2	1
77	и потому	6	1
78	не только	15	1
79	во всяком	5	1
80	целиком в	1	1
