N	2gram	Potebnia_M_1	Sovremen
1	не может	22	17
2	может быть	27	12
3	точки зрения	8	12
4	таким образом	13	11
5	мы не	10	9
6	в каждом	4	8
7	в этом	15	7
8	не можем	2	7
9	и в	39	7
10	каждый раз	4	6
11	мы можем	2	6
12	ничего не	1	6
13	как и	9	6
14	и не	18	6
15	в результате	1	6
16	все эти	1	5
17	что же	2	5
18	каждом отдельном	1	5
19	прежде всего	4	5
20	с точки	3	5
21	живой организм	1	5
22	в зависимости	1	4
23	вопрос о	4	4
24	зависимости от	1	4
25	мы должны	3	4
26	в том	26	4
27	при нормальном	1	4
28	в целом	2	4
29	если мы	3	4
30	из них	1	4
31	так как	21	4
32	мы видели	4	4
33	не только	21	4
34	в развитии	1	4
35	как бы	6	4
36	вместе с	8	4
37	это не	7	4
38	их в	1	4
39	а в	5	4
40	жизни и	2	4
41	ли мы	1	3
42	он может	1	3
43	в первом	5	3
44	с самого	3	3
45	то же	6	3
46	всякой науки	1	3
47	видели что	1	3
48	все же	6	3
49	еще не	6	3
50	но в	9	3
51	он в	1	3
52	в этой	3	3
53	в себе	13	3
54	уже в	1	3
55	как он	1	3
56	что она	1	3
57	в одном	8	3
58	в нем	20	3
59	при этом	6	3
60	и мы	1	3
61	было бы	12	3
62	само собою	2	3
63	а не	21	3
64	так называемых	1	3
65	и потому	5	3
66	мы называем	2	3
67	не в	15	3
68	все это	1	3
69	самого начала	3	3
70	при таком	4	3
71	не подлежит	1	3
72	для нас	9	3
73	и все	3	3
74	у нас	2	3
75	с необходимостью	1	3
76	когда мы	2	3
77	следующим образом	1	3
78	в области	1	3
79	как мы	2	2
80	период развития	1	2
81	свою очередь	4	2
82	жизни мы	1	2
83	и есть	2	2
84	тем же	2	2
85	собою разумеется	1	2
86	приводит к	1	2
87	роль в	1	2
88	той же	3	2
89	времени и	2	2
90	на этом	1	2
91	из одного	3	2
92	и даже	4	2
93	и что	10	2
94	на их	1	2
95	и во	3	2
96	самом деле	1	2
97	физических законов	1	2
98	в его	5	2
99	каждая из	1	2
100	с этим	7	2
101	дает нам	1	2
102	развития но	1	2
103	некоторое время	1	2
104	в самом	3	2
105	по мнению	3	2
106	в которой	2	2
107	или же	3	2
108	что это	3	2
109	в нашем	1	2
110	из этих	4	2
111	с одной	3	2
112	и пространства	1	2
113	ни одна	2	2
114	уже не	2	2
115	то и	7	2
116	научного исследования	1	2
117	так сказать	2	2
118	в виде	1	2
119	на его	1	2
120	тем не	6	2
121	всяком случае	1	2
122	у него	1	2
123	и по	6	2
124	ее на	1	2
125	но все	2	2
126	то ни	3	2
127	известных нам	2	2
128	что все	3	2
129	с общим	1	2
130	развития в	1	2
131	а на	1	2
132	на этот	2	2
133	в один	2	2
134	что такое	1	2
135	он должен	2	2
136	такого рода	1	2
137	не менее	6	2
138	о значении	1	2
139	субъективное состояние	1	2
140	она может	3	2
141	в науке	1	2
142	еще более	2	2
143	наука еще	1	2
144	мы видим	4	2
145	в свою	4	2
146	представлять себе	1	2
147	совершенно не	1	2
148	не могут	4	2
149	могут быть	9	2
150	что при	5	2
151	что в	22	2
152	если же	5	2
153	в таком	5	2
154	во всяком	3	2
155	должен быть	1	1
156	и это	3	1
157	он ищет	1	1
158	своего развития	1	1
159	времени не	1	1
160	человека и	1	1
161	то она	2	1
162	с ее	2	1
163	а из	1	1
164	на другой	1	1
165	очень важную	1	1
166	на самом	1	1
167	но тем	3	1
168	составляют его	1	1
169	необходимости и	2	1
170	отношению к	13	1
171	так в	1	1
172	первое время	1	1
173	не имеют	5	1
174	из двенадцати	1	1
175	в мире	3	1
176	всего человек	1	1
177	можно было	1	1
178	и могут	1	1
179	те же	1	1
180	их и	2	1
181	есть не	2	1
182	животный организм	2	1
183	здесь нет	1	1
184	мы имеем	1	1
185	же как	1	1
186	еще в	1	1
187	когда в	3	1
188	мы в	2	1
189	двух и	1	1
190	если бы	14	1
191	и вообще	3	1
192	в отдельном	1	1
193	но такая	2	1
194	совсем иное	1	1
195	что иное	2	1
196	с i	1	1
197	же необходимо	1	1
198	и живой	1	1
199	этому одному	1	1
200	и должно	2	1
201	или как	1	1
202	развивается только	1	1
203	с тою	1	1
204	того же	3	1
205	о том	2	1
206	в ней	7	1
207	одного из	2	1
208	утверждает что	2	1
209	аналогии с	1	1
210	на них	1	1
211	именно эти	1	1
212	все его	1	1
213	иное как	2	1
214	же время	4	1
215	в вопросах	1	1
216	бы то	2	1
217	что его	1	1
218	его в	1	1
219	с его	1	1
220	во всех	5	1
221	живых существ	2	1
222	природы и	1	1
223	но не	8	1
224	к этому	1	1
225	свести все	1	1
226	мы будем	2	1
227	но как	3	1
228	друг на	1	1
229	при исследовании	1	1
230	если в	1	1
231	во втором	5	1
232	по отношению	13	1
233	а потому	10	1
234	более как	3	1
235	во всей	1	1
236	одна не	1	1
237	сложных явлений	1	1
238	внутреннего опыта	1	1
239	крайней мере	2	1
240	это или	1	1
241	может стать	1	1
242	этой группы	1	1
243	сложное и	1	1
244	независимо от	6	1
245	стороны и	2	1
246	этого развития	1	1
247	к которому	3	1
248	значит что	1	1
249	свобода по	1	1
250	к нему	1	1
251	более и	2	1
252	один из	1	1
253	к различным	1	1
254	с понятием	2	1
255	нужна для	1	1
256	иметь только	1	1
257	в действительности	4	1
258	увидим что	4	1
259	только в	25	1
260	то он	2	1
261	та же	1	1
262	в известном	1	1
263	нами в	1	1
264	явлений и	3	1
265	этот вопрос	2	1
266	мира но	1	1
267	только на	3	1
268	нельзя говорить	1	1
269	вследствие этого	1	1
270	в начале	2	1
271	этот процесс	1	1
272	и если	2	1
273	он не	3	1
274	этом с	1	1
275	и их	3	1
276	к одному	2	1
277	только такой	1	1
278	нам только	1	1
279	сами по	1	1
280	вовсе не	5	1
281	для них	2	1
282	из одной	1	1
283	как его	1	1
284	но что	1	1
285	случае не	1	1
286	одной и	3	1
287	этого направления	1	1
288	заключает в	2	1
289	предполагается что	1	1
290	и природа	1	1
291	наука не	1	1
292	по его	7	1
293	их объяснения	1	1
294	это значит	1	1
295	не из	3	1
296	и только	2	1
297	и неподвижными	1	1
298	не будет	2	1
299	и может	2	1
300	в другом	1	1
301	одной стороны	3	1
302	чем в	2	1
303	развития на	1	1
304	до сих	1	1
305	с другой	7	1
306	же путем	1	1
307	и эту	1	1
308	рядом и	1	1
309	нельзя сказать	1	1
310	именно в	1	1
311	сказать несколько	1	1
312	будет ли	1	1
313	системе и	1	1
314	этом смысле	4	1
315	части одной	1	1
316	что один	1	1
317	мы постараемся	2	1
318	должен был	1	1
319	весь мир	1	1
320	такое же	1	1
