N	2gram	Tiupa_Disk_2	formyVre
1	и в	16	46
2	в этом	16	22
3	прежде всего	7	14
4	вовсе не	1	13
5	в романе	1	13
6	и его	3	12
7	во всех	1	11
8	не только	10	11
9	только в	3	11
10	как бы	4	10
11	то есть	12	10
12	точки зрения	4	10
13	в том	8	10
14	но в	11	10
15	не в	3	9
16	но и	11	9
17	вместе с	2	9
18	и не	15	9
19	и для	2	9
20	мира и	4	9
21	то же	6	8
22	как и	16	8
23	с точки	2	8
24	потому что	4	8
25	в его	3	8
26	из них	3	8
27	жизни и	3	8
28	и на	5	7
29	так сказать	1	7
30	так и	9	7
31	в них	3	7
32	может быть	16	7
33	времени в	4	7
34	в одном	4	7
35	то что	5	7
36	картину мира	4	7
37	еще не	6	6
38	все же	6	6
39	и наконец	3	6
40	при этом	17	6
41	этом мире	2	6
42	человека в	4	6
43	и с	2	6
44	его в	3	6
45	в основе	4	6
46	никогда не	2	6
47	и во	1	6
48	в особенности	1	6
49	здесь в	3	6
50	все это	2	6
51	и все	3	6
52	но не	7	5
53	в своем	5	5
54	все эти	3	5
55	он не	3	5
56	в нем	7	5
57	должно быть	2	5
58	в то	5	5
59	и др	1	5
60	в частности	12	5
61	в пределах	4	5
62	что в	5	5
63	также и	3	4
64	в мире	11	4
65	в истории	1	4
66	как в	8	4
67	из этих	3	4
68	в себе	19	4
69	их в	2	4
70	и было	1	4
71	том что	10	4
72	в котором	3	4
73	место в	2	4
74	том же	1	4
75	же время	5	4
76	к себе	1	4
77	к смерти	1	4
78	в образе	1	4
79	в эпоху	1	4
80	с ним	1	4
81	и смерть	1	4
82	о том	4	4
83	так что	1	4
84	мир в	1	4
85	и их	1	4
86	а не	14	4
87	человеческой жизни	2	4
88	отнюдь не	6	4
89	в ряду	2	4
90	с этой	1	4
91	еще более	1	4
92	же в	1	4
93	жизни в	3	4
94	ему в	1	3
95	того же	2	3
96	слова и	1	3
97	точка зрения	1	3
98	отношение к	2	3
99	образ смерти	1	3
100	хотя и	1	3
101	как уже	2	3
102	и как	3	3
103	в этот	1	3
104	уже не	3	3
105	в большинстве	2	3
106	таким образом	1	3
107	на первый	2	3
108	в которых	1	3
109	к реальному	1	3
110	на границе	1	3
111	к тому	1	3
112	имеет место	1	3
113	себя и	1	3
114	роль в	4	3
115	в другом	3	3
116	а также	8	3
117	как у	1	3
118	что и	2	3
119	того что	1	3
120	что он	2	3
121	в качестве	16	3
122	и они	1	3
123	большинстве случаев	1	3
124	для него	5	3
125	тем что	1	3
126	в форме	1	3
127	что на	2	3
128	и даже	1	3
129	и прежде	2	3
130	не было	3	3
131	не на	2	3
132	для романа	1	3
133	на смерть	1	3
134	о чем	2	3
135	вещами и	1	3
136	мира в	3	3
137	в это	1	3
138	не является	4	3
139	в этих	3	3
140	между вещами	1	3
141	ее в	1	3
142	а в	2	3
143	себе самому	2	3
144	всего в	1	3
145	к этому	4	3
146	том числе	1	3
147	и есть	1	2
148	и так	1	2
149	характерное для	1	2
150	и до	1	2
151	мы имеем	2	2
152	в сущности	1	2
153	говорить о	2	2
154	жизни как	2	2
155	они были	1	2
156	пародия на	1	2
157	он был	1	2
158	не был	1	2
159	и т.п	12	2
160	если в	1	2
161	друг от	1	2
162	в одной	1	2
163	опирается на	1	2
164	то в	1	2
165	жизнь как	1	2
166	в этой	4	2
167	с одной	4	2
168	человек не	1	2
169	о смерти	1	2
170	картины мира	7	2
171	на этом	1	2
172	по аналогии	1	2
173	лишь в	1	2
174	здесь это	1	2
175	далеко не	2	2
176	контакта с	1	2
177	жизни с	1	2
178	строго говоря	1	2
179	одном из	3	2
180	своей жизни	1	2
181	и более	1	2
182	в той	2	2
183	вплоть до	1	2
184	она не	1	2
185	и имеет	1	2
186	там где	1	2
187	и всегда	1	2
188	мире и	3	2
189	этом отношении	4	2
190	принадлежит к	3	2
191	могут быть	3	2
192	с телом	1	2
193	числе и	1	2
194	отчасти у	1	2
195	и это	2	2
196	от друга	1	2
197	чем не	2	2
198	в зоне	1	2
199	здесь не	2	2
200	и от	1	2
201	в себя	2	2
202	отсюда и	2	2
203	прошлым и	3	2
204	но здесь	2	2
205	в индивидуальном	1	2
206	и должно	1	2
207	другом месте	1	2
208	картина мира	4	2
209	можно сказать	3	2
210	мира по	1	2
211	в сюжете	1	2
212	это не	3	2
213	и только	1	2
214	века и	1	2
215	быть и	1	2
216	один из	1	2
217	свет и	1	2
218	в литературу	1	2
219	в поэзии	1	2
220	не для	1	2
221	каждый из	1	2
222	не были	1	2
223	или иной	3	2
224	с другой	5	2
225	именно в	2	2
226	и несколько	1	2
227	в некоторых	1	2
228	не знает	3	2
229	жизни но	3	2
230	на друга	1	2
231	до конца	1	2
232	человек в	1	2
233	не может	9	2
234	как это	1	2
235	по своему	1	2
236	в данном	7	2
237	а потом	2	2
238	этом случае	2	2
239	друг на	1	2
240	ни для	4	2
241	и точность	1	2
242	картине мира	2	2
243	но это	3	2
244	образ человека	2	2
245	между ними	1	2
246	не быть	1	2
247	равно как	1	2
248	жизни а	3	2
249	как на	3	2
250	во всяком	1	2
251	которых не	2	1
252	жизнь с	1	1
253	себя как	1	1
254	можно говорить	1	1
255	например в	3	1
256	мире это	1	1
257	чтобы не	1	1
258	и то	4	1
259	замкнутых в	1	1
260	значении этого	2	1
261	сил и	1	1
262	это и	1	1
263	идет о	2	1
264	времени но	1	1
265	по преимуществу	2	1
266	не имеют	1	1
267	должна быть	2	1
268	к созданию	1	1
269	для этих	1	1
270	миру с	1	1
271	есть не	1	1
272	мира как	1	1
273	на материале	1	1
274	для своего	1	1
275	в особой	1	1
276	у тебя	1	1
277	вопрос о	1	1
278	он как	1	1
279	в полной	1	1
280	ни один	1	1
281	из того	1	1
282	героев в	1	1
283	это время	1	1
284	основе этого	1	1
285	в ней	2	1
286	разумеется не	4	1
287	он сам	1	1
288	время в	2	1
289	в чем	1	1
290	с его	6	1
291	тем как	1	1
292	в нашем	1	1
293	самом деле	1	1
294	от вневременной	1	1
295	жизненной формы	1	1
296	эта особенность	1	1
297	отличие от	12	1
298	друга и	1	1
299	за пределы	1	1
300	связи и	1	1
301	каждая вещь	1	1
302	первый взгляд	2	1
303	до его	1	1
304	что как	2	1
305	путь в	1	1
306	однако не	1	1
307	в европейской	1	1
308	в полном	2	1
309	когда он	1	1
310	к циклизации	1	1
311	состояло в	1	1
312	чего не	3	1
313	человеческая жизнь	1	1
314	в самом	1	1
315	в которой	1	1
316	бы не	1	1
317	так в	1	1
318	частности на	1	1
319	им в	1	1
320	о других	1	1
321	в случае	1	1
322	вследствие этого	2	1
323	но прежде	1	1
324	от греческого	1	1
325	стороны в	1	1
326	стремится к	2	1
327	же это	1	1
328	не как	1	1
329	мир как	1	1
330	смертью в	1	1
331	его от	1	1
332	и анекдота	3	1
333	одно и	2	1
334	лежит на	2	1
335	но все	1	1
336	зоне контакта	1	1
337	для характеристики	1	1
338	в состоянии	1	1
339	об этом	1	1
340	этой традиции	2	1
341	мире как	1	1
342	с прошлым	1	1
343	мир этот	1	1
344	особое отношение	1	1
345	и каждый	1	1
346	реальности и	2	1
347	ни в	7	1
348	этого она	1	1
349	доверия к	1	1
350	мы не	1	1
351	такой же	2	1
352	и того	3	1
353	одного и	3	1
354	и еще	1	1
355	об особом	1	1
356	в своей	6	1
357	здешней действительности	1	1
358	индивидуальной жизни	1	1
359	как все	2	1
360	за которым	2	1
361	однако они	1	1
362	в рассказ	1	1
363	целого но	1	1
364	с самого	1	1
365	не столько	3	1
366	на каждом	1	1
367	с данным	1	1
368	стало быть	1	1
369	художественного мира	1	1
370	другом и	1	1
371	письма в	1	1
372	условного и	1	1
373	случае мы	1	1
374	например и	1	1
375	же самого	1	1
376	любви и	1	1
377	к собственному	1	1
378	и слово	1	1
379	возникает в	1	1
380	при всех	1	1
381	в таких	1	1
382	виду что	1	1
383	интересные и	1	1
384	временной или	1	1
385	самого начала	1	1
386	дело в	2	1
387	одна из	1	1
388	взгляд может	1	1
389	на него	1	1
390	и молитвы	1	1
391	того и	2	1
392	иной более	1	1
393	как новый	1	1
394	новеллы в	1	1
395	как она	1	1
396	такая же	1	1
397	во всем	1	1
398	было в	3	1
399	случая и	2	1
400	и здесь	1	1
401	начиная с	1	1
402	не могут	1	1
403	и развития	1	1
404	этому ряду	1	1
405	мир на	1	1
406	мира полемически	1	1
407	его с	1	1
408	но одновременно	3	1
409	той или	3	1
