N	4gram	Propp_Morf_1	Myshleni
1	одно и то же	1	6
2	мы видим таким образом	1	4
3	видим таким образом что	1	4
4	состоит в том что	2	3
5	все более и более	1	2
6	в тот момент когда	1	1
7	бы они ни были	1	1
8	в собственном смысле слова	3	1
9	на то что в	1	1
10	могут иметь различное значение	1	1
11	бы то ни было	2	1
12	которые не могут быть	1	1
13	сомневаться в том что	1	1
14	в том случае если	1	1
15	прежде чем перейти к	1	1
16	указанием на то что	1	1
17	в обоих случаях значение	1	1
18	в том что он	1	1
19	в то время как	3	1
