N	2gram	Voloshinov_1	KulturaY
1	и в	3	23
2	не только	1	20
3	и не	1	16
4	может быть	1	15
5	точки зрения	1	14
6	если бы	1	12
7	в языке	1	10
8	а не	1	10
9	не может	4	9
10	с точки	1	8
11	не менее	1	7
12	но и	1	7
13	то же	1	6
14	и на	1	6
15	несмотря на	1	5
16	в его	1	5
17	один из	2	5
18	в то	1	4
19	к тому	1	4
20	в особенности	1	4
21	смысл и	1	3
22	же время	1	3
23	связи с	1	3
24	в ней	1	3
25	именно с	1	3
26	тех же	1	2
27	конечно и	1	2
28	достоевского и	2	2
29	которые определяют	1	2
30	бы на	1	2
31	языка как	1	2
32	на примере	1	2
33	и все	1	2
34	нет и	1	1
35	из этих	1	1
36	в каждом	1	1
37	литературного языка	1	1
38	себе все	1	1
39	на месте	1	1
40	вещей и	1	1
41	тому что	1	1
42	его от	1	1
43	первая часть	1	1
44	деятельности в	1	1
45	социальной борьбы	1	1
46	в школе	1	1
47	для него	1	1
48	второй части	1	1
49	почти с	1	1
50	и тому	1	1
51	ничего кроме	1	1
52	бы в	1	1
53	может и	1	1
54	этой проблемы	1	1
