N	3gram	Nazirov_Tr_1	VerxiiNi
1	во всяком случае	1	6
2	о том что	2	4
3	и вместе с	1	4
4	но все же	2	4
5	точно так же	2	3
6	в конце концов	1	3
7	в связи с	1	3
8	тем не менее	1	3
9	в том что	2	3
10	с тем и	1	2
11	по сравнению с	1	2
12	то что он	1	2
13	между этими двумя	2	2
14	то же время	5	2
15	с самого начала	1	2
16	в то же	5	2
17	и в этом	1	2
18	и все же	1	1
19	а между тем	1	1
20	нет в нем	1	1
21	на все усилия	1	1
22	пустоту и потому	1	1
23	в самом деле	1	1
24	связан и с	1	1
25	обстоит дело с	1	1
26	же время он	1	1
27	не вполне ясно	1	1
28	все это мы	1	1
29	в мире при	1	1
30	все эти черты	1	1
31	в данном случае	2	1
32	но в то	2	1
33	смысле этого слова	1	1
34	но при этом	1	1
35	в отличие от	2	1
36	что в таком	1	1
37	и даже некоторые	1	1
38	но в конце	1	1
39	не может быть	1	1
40	так и в	3	1
41	это и есть	1	1
42	в одном из	1	1
43	не только не	1	1
44	ничего подобного нет	1	1
45	любви ко всему	1	1
46	несмотря на все	1	1
47	после того как	1	1
48	одном из своих	1	1
49	уместно вспомнить что	1	1
50	может быть в	1	1
51	так обстоит дело	1	1
