N	3gram	Tiupa_Narr_1	Komedia
1	до сих пор	2	9
2	в том что	5	9
3	в самом деле	2	6
4	для того чтобы	3	6
5	в свою очередь	2	6
6	в то же	4	4
7	о том что	2	4
8	то же время	4	4
9	к тому же	5	4
10	по отношению к	3	3
11	с точки зрения	1	3
12	в связи с	2	3
13	во всяком случае	2	3
14	и в самом	1	3
15	речь идет о	3	3
16	с одной стороны	1	3
17	тем не менее	3	3
18	то же самое	2	3
19	состоит в том	2	2
20	бы то ни	1	2
21	он и не	1	2
22	в этом отношении	3	2
23	в этой связи	1	2
24	то ни было	1	2
25	с другой стороны	1	2
26	в конечном счете	1	2
27	но все же	1	2
28	на этот раз	1	2
29	то в его	1	1
30	в чем он	1	1
31	теперь же ему	1	1
32	на себя внимание	3	1
33	об этом свидетельствует	1	1
34	и всякий другой	1	1
35	более или менее	1	1
36	подобно тому как	3	1
37	в том числе	1	1
38	в ответ на	1	1
39	в соответствии с	4	1
40	так и не	2	1
41	сих пор еще	1	1
42	как это было	1	1
43	событие о котором	1	1
44	мы еще вернемся	1	1
45	и в то	1	1
46	в зависимости от	2	1
47	не было и	2	1
48	в отличие от	2	1
49	он только что	1	1
50	но и здесь	1	1
51	и не может	1	1
52	себя внимание что	1	1
53	на то что	2	1
54	об этом не	1	1
55	по крайней мере	1	1
56	как раз в	2	1
57	едва ли не	1	1
58	в самом начале	1	1
59	обращает на себя	3	1
60	в первом случае	3	1
61	не сводится к	2	1
62	говорит о своей	1	1
63	но при этом	1	1
64	и вся его	1	1
65	и совершенно не	1	1
66	к нему в	1	1
67	из них не	1	1
68	вот я теперь	1	1
69	здесь не только	1	1
70	всю свою жизнь	1	1
71	в случае с	1	1
72	об этом и	1	1
73	как и всякий	1	1
74	в пределах этой	1	1
75	зрения одного из	1	1
76	можно сказать что	2	1
77	что и для	1	1
78	что у него	1	1
79	к этому времени	1	1
80	если бы не	1	1
81	к тому что	1	1
82	друг от друга	1	1
83	друг с другом	1	1
84	том числе и	1	1
85	и т д	1	1
86	как в случае	1	1
87	только что видел	1	1
