N	2gram	Bakhtin_Fr_1	VerxiiNi
1	и в	65	26
2	в этом	15	15
3	точки зрения	7	13
4	как бы	22	12
5	в том	16	11
6	из этих	2	10
7	не только	10	10
8	и с	3	10
9	может быть	6	10
10	связи с	4	9
11	в области	7	9
12	так как	6	9
13	но и	10	9
14	что в	3	9
15	но не	2	8
16	в общем	4	8
17	главным образом	6	8
18	и у	6	8
19	с другой	3	8
20	и не	22	8
21	как на	1	8
22	но в	14	7
23	связанные с	1	7
24	но все	3	7
25	из них	4	7
26	том что	6	7
27	потому что	5	7
28	в эпоху	9	7
29	к нему	3	7
30	с одной	2	7
31	то что	3	7
32	одной стороны	2	7
33	представление о	1	6
34	все же	6	6
35	все эти	10	6
36	в себе	3	6
37	всяком случае	1	6
38	с точки	3	6
39	в отношении	6	6
40	народной стихии	1	6
41	к тому	2	6
42	так и	10	6
43	о том	2	6
44	в конце	1	6
45	что и	1	6
46	несмотря на	2	6
47	и потому	10	6
48	все это	9	6
49	во всяком	1	6
50	отношение к	4	5
51	сих пор	4	5
52	и к	4	5
53	тому же	1	5
54	лишь в	1	5
55	того чтобы	1	5
56	никогда не	6	5
57	с другом	1	5
58	для того	1	5
59	образом в	2	5
60	в его	9	5
61	до сих	4	5
62	а не	1	5
63	к жизни	2	5
64	друг с	1	5
65	и для	2	5
66	одной из	1	5
67	том числе	10	5
68	то же	1	4
69	в течение	1	4
70	в самом	4	4
71	в этой	4	4
72	и по	2	4
73	что все	1	4
74	то есть	45	4
75	он не	2	4
76	далеко не	3	4
77	в которых	1	4
78	в то	1	4
79	в нем	13	4
80	числе и	7	4
81	и только	1	4
82	только в	7	4
83	на этот	2	4
84	не может	3	4
85	из которых	1	4
86	в так	1	4
87	и от	2	4
88	в этих	2	4
89	во время	4	4
90	что он	3	4
91	из всех	2	3
92	не вполне	2	3
93	так называемые	2	3
94	в народном	2	3
95	в своем	8	3
96	и как	1	3
97	в которой	1	3
98	и если	1	3
99	при этом	6	3
100	европейской культуры	3	3
101	всегда и	2	3
102	подойти к	1	3
103	и при	1	3
104	не менее	1	3
105	в других	3	3
106	культуры и	8	3
107	можно сказать	2	3
108	в значительной	6	3
109	того что	2	3
110	но с	2	3
111	хотя бы	1	3
112	уже не	3	3
113	для него	5	3
114	в одном	5	3
115	к ним	1	3
116	случае не	1	3
117	и даже	8	3
118	с ней	1	3
119	в связи	1	3
120	в результате	1	3
121	отношению к	1	3
122	и другие	8	3
123	к этому	1	3
124	в таком	2	3
125	одним из	2	2
126	связана с	5	2
127	и это	2	2
128	когда человек	1	2
129	и больше	1	2
130	смотреть на	1	2
131	мы имеем	1	2
132	и заставляет	1	2
133	еще не	6	2
134	и на	11	2
135	с его	5	2
136	во всех	9	2
137	различия между	2	2
138	этого последнего	1	2
139	или иное	1	2
140	некоторые из	2	2
141	и наконец	2	2
142	еще на	1	2
143	он в	1	2
144	на то	1	2
145	не могла	1	2
146	перестает быть	3	2
147	они в	2	2
148	не к	2	2
149	и связанные	1	2
150	из него	1	2
151	его от	2	2
152	людей и	1	2
