N	3gram	Potebnia_M_3	Sovremen
1	мы не можем	2	6
2	в каждом отдельном	1	5
3	не может быть	3	4
4	тем не менее	3	2
5	друг с другом	1	2
6	каждого из них	1	2
7	в свою очередь	3	2
8	не подлежит сомнению	1	2
9	то же самое	1	2
10	точки зрения и	1	1
11	с одной и	2	1
12	и может быть	2	1
13	мы видим не	1	1
14	в том как	3	1
15	одной стороны и	1	1
16	по крайней мере	5	1
17	не могут быть	2	1
18	не в том	5	1
19	он уже не	1	1
20	по отношению к	5	1
21	равно как и	1	1
22	одна и та	1	1
23	на самом деле	1	1
24	а но это	1	1
25	и той же	2	1
26	но мы этого	1	1
27	в свое время	1	1
28	один и тот	1	1
29	до сих пор	3	1
30	вместе с ним	1	1
31	то же время	5	1
32	в первое время	2	1
33	но тем не	2	1
34	сами по себе	1	1
35	что в ней	2	1
36	и та же	1	1
37	а может быть	1	1
38	мы не знаем	2	1
39	это значит что	1	1
40	может находиться в	1	1
41	заключает в себе	5	1
42	в самом деле	1	1
43	заключать в себе	1	1
44	не может но	1	1
45	может быть только	3	1
46	в том случае	1	1
47	в то же	5	1
48	мы этого не	1	1
49	одной и той	2	1
50	в том что	16	1
51	том случае когда	1	1
52	в данном случае	1	1
53	с одной стороны	3	1
54	именно в том	2	1
55	и тот же	1	1
56	если бы эти	1	1
