N	3gram	Berdyaev_M_2	SlovoVZh
1	по отношению к	2	11
2	не может быть	8	7
3	в том что	2	4
4	может быть и	2	3
5	до сих пор	3	3
6	на самом деле	1	2
7	с точки зрения	1	2
8	в отношении к	2	2
9	том что в	1	1
10	для него не	1	1
11	а между тем	1	1
12	и в этом	3	1
13	они должны быть	1	1
14	в чем не	2	1
15	и менее всего	1	1
16	так как будто	1	1
17	в этом направлении	1	1
18	друг к другу	5	1
19	одна и та	2	1
20	между тем как	1	1
21	же как и	3	1
22	и для него	2	1
23	в нем и	1	1
24	в свои права	1	1
25	сих пор не	1	1
26	а не к	1	1
27	ни в чем	2	1
28	как в жизни	1	1
29	сам по себе	1	1
30	но для этого	2	1
31	но и в	1	1
32	и та же	2	1
33	берет на себя	1	1
34	о том что	2	1
35	в этом отношении	1	1
36	в творчестве достоевского	3	1
37	никогда не бывает	2	1
38	уже не способен	1	1
39	если бы не	1	1
40	подобно тому как	2	1
41	человек и его	1	1
42	записок из подполья	1	1
43	в такой степени	2	1
44	культуры в нашем	1	1
45	и тогда когда	1	1
46	в значительной степени	1	1
47	сама по себе	1	1
48	и в нем	1	1
49	место в творчестве	1	1
50	том что все	1	1
51	так же как	3	1
52	она не может	1	1
53	как и в	2	1
54	мы увидим что	2	1
55	в высшей степени	3	1
