N	2gram	Losev_Vlad_3	Komedia
1	и в	40	22
2	по адресу	1	14
3	том что	18	12
4	но и	18	11
5	в том	18	11
6	не только	25	10
7	в то	7	10
8	из них	2	10
9	как и	7	9
10	может быть	8	9
11	таким образом	11	8
12	должны были	1	8
13	о том	11	8
14	и его	10	8
15	в одном	5	8
16	и не	25	8
17	едва ли	11	7
18	в этой	8	7
19	и других	1	7
20	то же	4	6
21	тому же	5	6
22	и по	2	6
23	не в	3	6
24	в отношении	5	6
25	ни в	10	6
26	в конце	12	6
27	одного из	1	6
28	что он	5	6
29	такого рода	4	6
30	к тому	7	6
31	а в	7	6
32	в которой	2	6
33	что в	17	6
34	в истории	5	5
35	как в	1	5
36	то время	4	5
37	при этом	3	5
38	во время	1	5
39	потому что	11	5
40	так и	6	5
41	еще в	5	5
42	и даже	6	5
43	один из	1	5
44	уже в	3	5
45	в его	14	5
46	прежде всего	10	5
47	о которых	2	5
48	с другой	5	5
49	все это	1	5
50	другой стороны	2	5
51	из его	1	4
52	время как	2	4
53	что они	1	4
54	но в	4	4
55	в нем	3	4
56	и вот	1	4
57	в другом	2	4
58	несмотря на	7	4
59	точки зрения	13	4
60	в котором	4	4
61	в их	2	4
62	так как	7	4
63	как мы	8	4
64	на него	2	4
65	можно судить	1	4
66	же время	2	4
67	в в	2	4
68	так в	1	4
69	ясно что	1	4
70	а также	8	4
71	что и	7	4
72	в качестве	3	4
73	тем что	5	4
74	именно в	3	4
75	обвинения в	1	4
76	в результате	4	4
77	конце концов	5	4
78	же в	3	4
79	по поводу	1	4
80	к этому	2	4
81	новое время	1	3
82	речь идет	1	3
83	же как	3	3
84	в тех	1	3
85	в году	10	3
86	мы не	2	3
87	и о	4	3
88	i с	3	3
89	и на	6	3
90	в последних	1	3
91	в чем	3	3
92	с одной	3	3
93	в этом	16	3
94	все же	4	3
95	хотя и	7	3
96	и как	7	3
97	в целом	2	3
98	на то	4	3
99	да и	6	3
100	он не	8	3
101	и еще	2	3
102	и с	9	3
103	его в	2	3
104	первую очередь	1	3
105	в них	1	3
106	место в	1	3
107	вопрос о	4	3
108	не менее	9	3
109	на всю	1	3
110	даже в	4	3
111	того как	1	3
112	к этим	1	3
113	ничего не	5	3
114	этом отношении	2	3
115	у нас	5	3
116	и сам	1	3
117	во второй	1	3
118	там же	7	3
119	в частности	1	3
120	одной из	2	3
121	только в	13	3
122	и у	3	3
123	в виде	13	3
124	в начале	2	3
125	у него	24	3
126	как раз	10	3
127	в свои	1	3
128	к которому	1	3
129	так же	8	3
130	как это	4	3
131	их к	1	3
132	по своему	1	3
133	одной стороны	3	3
134	в течение	4	3
135	не удалось	3	3
136	не мог	6	3
137	здесь в	4	3
138	всего в	1	3
139	в более	1	3
140	его творчества	2	3
141	и все	4	3
142	как известно	1	2
143	того же	2	2
144	тех же	1	2
145	здесь и	2	2
146	из всех	1	2
147	в сущности	2	2
148	принадлежит к	1	2
149	на себя	2	2
150	это время	2	2
151	он был	2	2
152	к году	1	2
153	бы то	3	2
154	совсем не	5	2
155	отличие от	3	2
156	за пределы	3	2
157	в настоящем	2	2
158	к сожалению	1	2
159	относится к	1	2
160	наряду с	2	2
161	независимо от	3	2
162	что касается	2	2
163	что по	1	2
164	и платон	1	2
165	для ее	1	2
166	в самом	4	2
167	в известном	1	2
168	в себе	9	2
169	в первой	1	2
170	в первую	1	2
171	если они	2	2
172	не к	2	2
173	в силу	2	2
174	то ни	3	2
175	для характеристики	1	2
176	на все	1	2
177	было бы	4	2
178	и тем	3	2
179	в новое	1	2
180	для них	1	2
181	были в	2	2
182	мы видели	3	2
183	такой же	4	2
184	или менее	5	2
185	которую он	1	2
186	и без	1	2
187	всяком случае	3	2
188	и самого	1	2
189	но он	1	2
190	тем не	10	2
191	в древней	1	2
192	не раз	1	2
193	одна из	1	2
194	это еще	1	2
195	при всем	2	2
196	в форму	1	2
197	по своей	2	2
198	ему и	1	2
199	и теперь	1	2
200	как будто	1	2
201	ли это	1	2
202	в хронологическом	1	2
203	же самое	3	2
204	указывает на	1	2
205	для себя	5	2
206	с ее	1	2
207	всего этого	1	2
208	только при	4	2
209	в себя	1	2
210	мог бы	4	2
211	собой и	1	2
212	находится в	3	2
213	и здесь	6	2
214	и во	1	2
215	и можно	4	2
216	путь к	2	2
217	раз на	1	2
218	еще не	4	2
219	который в	2	2
220	в эти	1	2
221	из которых	1	2
222	этом что	1	2
223	вернуться к	1	2
224	а то	2	2
225	нравственности и	1	2
226	мы знаем	3	2
227	вовсе не	13	2
228	со стороны	2	2
229	даже не	3	2
230	и из	1	2
231	до сих	1	2
232	вслед за	1	2
233	еще и	18	2
234	а сам	1	2
235	и притом	3	2
236	был человеком	2	2
237	то и	2	2
238	которых мы	2	2
239	до конца	4	2
240	не может	14	2
241	вместе с	7	2
242	коль скоро	2	2
243	но не	4	2
244	говоря уже	1	2
245	в состоянии	1	2
246	к нему	3	2
247	сих пор	1	2
248	но это	6	2
249	и таким	1	2
250	между прочим	5	2
251	мы найдем	1	2
252	об отношении	2	2
253	и право	1	2
254	а к	1	2
255	будто бы	1	2
256	всех вещей	2	2
257	только что	2	2
258	ни было	1	2
259	то что	28	2
260	не говоря	1	2
261	в свою	1	2
262	в действительности	1	2
263	ее в	3	2
264	в своих	7	2
265	во всяком	3	2
266	все что	1	2
267	а между	1	1
268	можно говорить	1	1
269	также и	17	1
270	системы к	1	1
271	чтобы не	1	1
272	не дошли	1	1
273	в этот	2	1
274	сам по	2	1
275	бы назвали	1	1
276	на самом	3	1
277	не что	1	1
278	по времени	1	1
279	такое же	1	1
280	из самых	1	1
281	от всяких	1	1
282	и больше	1	1
283	и за	2	1
284	по его	2	1
285	мы уже	5	1
286	которым он	1	1
287	и была	1	1
288	по мнению	4	1
289	для своего	1	1
290	чувствам и	1	1
291	в защиту	1	1
292	каким был	1	1
293	с традиционными	1	1
294	преждевременной смерти	1	1
295	который был	2	1
296	что иное	1	1
297	то это	10	1
298	самим богом	1	1
