N	2gram	Bakhtin_Fr_7	PoTuStor
1	может быть	4	17
2	и в	41	16
3	в этом	15	9
4	таким образом	19	9
5	прежде всего	11	9
6	и с	4	8
7	точки зрения	5	8
8	и его	9	8
9	не может	3	8
10	с его	2	7
11	не только	5	7
12	сказать что	1	7
13	самом деле	1	6
14	при этом	3	6
15	с точки	3	6
16	и это	5	6
17	для него	6	6
18	и к	5	6
19	еще не	2	5
20	в чем	2	5
21	отношение к	2	5
22	все эти	13	5
23	только для	1	5
24	ни в	6	5
25	ту сторону	1	5
26	в него	1	5
27	как бы	7	5
28	на самом	2	4
29	и ее	2	4
30	и на	4	4
31	и наконец	4	4
32	но в	8	4
33	в этой	13	4
34	в нем	7	4
35	и может	2	4
36	его в	3	4
37	мысли и	1	4
38	все это	10	4
39	по ту	1	4
40	самого начала	1	4
41	как мы	11	4
42	с ее	3	4
43	с самого	2	4
44	так и	10	4
45	в его	12	4
46	с ними	3	4
47	только в	6	4
48	для всех	2	4
49	и их	3	4
50	так как	3	4
51	и даже	1	4
52	но и	9	4
53	и не	7	4
54	и все	14	4
55	все что	4	4
56	отношения к	1	3
57	тех же	1	3
58	едва ли	1	3
59	во всех	3	3
60	и есть	3	3
61	и как	2	3
62	учение о	2	3
63	с их	1	3
64	и вот	2	3
65	их в	2	3
66	на этом	5	3
67	на этой	4	3
68	этом смысле	1	3
69	том что	4	3
70	во время	3	3
71	никаких оснований	1	3
72	культура и	1	3
73	в одном	3	3
74	в основе	1	3
75	к себе	1	3
76	мира и	4	3
77	и она	1	3
78	в том	11	3
79	в большинстве	2	3
80	только на	2	3
81	большинстве случаев	2	3
82	всяком случае	1	3
83	в области	2	3
84	и др	2	3
85	но оно	1	3
86	вместе с	5	3
87	и потому	3	3
88	как это	1	3
89	в основном	1	3
90	что в	9	3
91	в этих	2	3
92	а в	5	3
93	то что	8	3
94	между ними	1	3
95	жизни и	3	3
96	во всяком	2	3
97	ту же	2	2
98	определить как	1	2
99	в самом	1	2
100	мы уже	12	2
101	мы не	2	2
102	и о	1	2
103	того же	3	2
104	на них	3	2
105	совсем не	3	2
106	за пределы	1	2
107	с этим	2	2
108	что это	4	2
109	и через	1	2
110	в переводе	1	2
111	он не	4	2
112	момента в	1	2
113	и по	3	2
114	в глубину	1	2
115	то же	13	2
116	по своему	2	2
117	связанные с	3	2
118	связанных с	3	2
119	исторического и	1	2
120	было бы	4	2
121	в жизни	1	2
122	по всему	1	2
123	в них	7	2
124	как и	14	2
125	на первый	1	2
126	в своей	3	2
127	почти не	1	2
128	знаем что	1	2
129	рождение и	1	2
130	и вся	3	2
131	его целом	2	2
132	никогда не	2	2
133	только и	1	2
134	таким путем	1	2
135	здесь же	1	2
136	так называемый	2	2
137	понятия и	1	2
138	и исторического	2	2
139	что на	1	2
140	в каком	1	2
141	все то	3	2
142	не могут	1	2
143	и всех	1	2
144	существует только	1	2
145	не будет	1	2
146	и этим	1	2
147	как с	1	2
148	по аналогии	1	2
149	с ним	2	2
150	находится в	2	2
151	является по	1	2
152	о том	6	2
153	другими словами	2	2
154	аналогии с	1	2
155	что и	5	2
156	во всей	2	2
157	может иметь	2	2
158	один из	1	2
159	оно и	2	2
160	образов и	1	2
161	мы видим	6	2
162	что он	3	2
163	и так	2	2
164	поэтому и	3	2
165	со всеми	2	2
166	есть в	6	2
167	не имеющие	1	2
168	да еще	1	2
169	если мы	1	2
170	можно определить	1	2
171	в начале	1	2
172	и других	2	2
173	к ним	1	2
174	у него	6	2
175	момент в	4	2
176	и т.п	9	2
177	характерно для	2	2
178	оно не	2	2
179	а на	2	2
180	не на	3	2
181	в одно	1	2
182	с помощью	6	2
183	в частности	1	2
184	так же	5	2
185	в область	3	2
186	в мир	1	2
187	с этой	1	2
188	в свое	2	2
189	но это	3	2
190	и таким	1	2
191	и для	5	2
192	и образы	4	2
193	ни было	2	2
194	нет никаких	1	2
195	не есть	2	2
196	из тех	1	2
197	все остальные	1	2
198	не знает	3	2
199	всех других	1	2
200	есть и	3	2
201	ее в	1	2
202	к этому	5	2
203	они не	1	2
204	так подробно	1	1
205	они снова	1	1
206	в дальнейшей	1	1
207	человека и	1	1
208	мы здесь	2	1
209	и то	2	1
210	он может	3	1
211	это и	1	1
212	лежал через	1	1
213	явления и	2	1
214	я умру	2	1
215	в году	5	1
216	его не	1	1
217	со всех	2	1
218	мы имеем	2	1
219	что между	2	1
220	и момент	2	1
221	мир не	2	1
222	на место	4	1
223	его современников	1	1
224	и новых	2	1
225	так чтобы	1	1
226	я не	3	1
227	рая и	1	1
228	как я	4	1
229	но даже	1	1
230	конечно и	1	1
231	не совсем	2	1
232	же что	2	1
233	всех сторон	1	1
234	в ней	5	1
235	и самого	2	1
236	что судьба	1	1
237	же нужно	1	1
238	он был	3	1
239	первый план	1	1
240	иное как	1	1
241	не был	1	1
242	что его	1	1
243	этим не	1	1
244	но не	1	1
245	абстрактный момент	1	1
246	значение и	1	1
247	него все	1	1
248	с совершенно	1	1
249	менее всего	1	1
250	иногда и	1	1
251	мы сейчас	2	1
252	что они	1	1
253	в течение	2	1
254	в центре	1	1
255	общего с	1	1
256	некоторое время	1	1
257	все же	1	1
258	однако не	1	1
259	хотя и	4	1
260	лишь абстрактный	1	1
261	что по	1	1
262	не являются	1	1
263	его к	3	1
264	увидим что	1	1
265	от этого	3	1
266	уже не	2	1
267	та же	4	1
268	ступени развития	1	1
269	а во-вторых	1	1
270	этот новый	1	1
271	в нашем	1	1
272	всего к	1	1
273	было связано	2	1
274	как он	2	1
275	не родился	1	1
276	имеем в	2	1
277	всей его	1	1
278	всех внешних	1	1
279	человек не	1	1
280	теории и	1	1
281	что было	1	1
282	время и	1	1
283	но именно	3	1
284	его запретами	1	1
285	различные формы	1	1
286	образом и	2	1
287	в корне	1	1
288	и связанные	1	1
289	свое время	2	1
290	мы говорили	1	1
291	у ребенка	1	1
292	человека в	2	1
293	по его	1	1
294	для всей	1	1
295	того насколько	1	1
296	что мир	1	1
297	различие между	1	1
298	в мире	3	1
299	не должна	1	1
300	той же	3	1
301	момент и	1	1
302	на все	1	1
303	не нашел	1	1
304	или наконец	1	1
305	это было	2	1
306	ничего удивительного	1	1
307	может стать	2	1
308	уже знаем	1	1
309	себе все	2	1
310	форму и	1	1
311	в свой	1	1
312	мы сказали	1	1
313	за ней	1	1
314	еще одно	1	1
315	для них	1	1
316	с тем	1	1
317	этим и	1	1
318	несмотря на	3	1
319	все моменты	1	1
320	значение как	1	1
321	отрицаний и	1	1
322	и еще	2	1
323	от своего	1	1
324	что есть	2	1
325	со всяким	1	1
326	не интересует	1	1
327	в следующем	2	1
328	и благодаря	3	1
329	уже здесь	2	1
330	никакому сомнению	1	1
331	вторая часть	1	1
332	всех вещей	1	1
333	что я	1	1
334	рождается не	1	1
335	страх и	1	1
336	но эта	1	1
337	не будем	1	1
338	этой плоскости	1	1
339	которые в	1	1
340	времени не	1	1
341	на всю	2	1
342	т.е на	1	1
343	же мы	1	1
344	не разработана	1	1
345	характер носят	2	1
346	существует для	1	1
347	а иногда	1	1
348	иной раз	1	1
349	есть прежде	1	1
350	в эпоху	7	1
351	и отсюда	1	1
352	дело в	2	1
353	одна из	4	1
354	почти во	1	1
355	в сущности	4	1
356	к новым	1	1
357	сын не	1	1
358	и снова	1	1
359	что иное	1	1
360	для всего	1	1
361	разобранный нами	2	1
362	не имеет	3	1
363	если ему	1	1
364	и всегда	2	1
365	ничего не	4	1
366	только когда	1	1
367	во всем	1	1
368	связи с	1	1
369	в сознании	1	1
370	в виду	4	1
371	уже и	1	1
