N	3gram	Propp_Russ_2	slovoVRo
1	не может быть	3	15
2	в отличие от	3	12
3	в этом случае	6	6
4	с одной стороны	2	5
5	в том что	18	4
6	в этом отношении	1	3
7	в свою очередь	1	2
8	более или менее	1	2
9	может быть и	1	2
10	во всяком случае	1	2
11	как мы уже	1	2
12	для того чтобы	6	2
13	и т д	5	2
14	иметь в виду	1	1
15	том что в	1	1
16	далеко не все	1	1
17	в этих случаях	3	1
18	не может не	1	1
19	как например в	1	1
20	но все это	1	1
21	но и в	1	1
22	между тем как	1	1
23	на то что	1	1
24	может быть только	2	1
25	в применении к	1	1
26	влияние и на	1	1
27	всяком случае не	1	1
28	не только как	1	1
29	для этой цели	2	1
30	но может быть	1	1
31	с другой стороны	1	1
32	все то что	1	1
33	мы видели что	4	1
34	тем не менее	2	1
35	о том что	4	1
36	во всех этих	1	1
37	таким образом в	1	1
38	и затем в	1	1
39	мы не можем	2	1
40	как и в	1	1
41	тем и другим	1	1
42	которые как бы	1	1
43	до некоторой степени	1	1
44	всех этих случаях	1	1
45	как мы видели	1	1
