N	3gram	Tiupa_Hudo_1	UchenyiS
1	в конечном счете	2	4
2	не может быть	2	4
3	по нашему мнению	1	3
4	то же время	8	3
5	в то же	8	3
6	а между тем	1	2
7	в самом деле	4	2
8	в этом смысле	1	2
9	то же самое	1	2
10	до сих пор	2	2
11	в этом отношении	3	2
12	в том что	6	2
13	еще ничего не	1	2
14	в конце концов	1	2
15	и в конце	1	1
16	они в своей	1	1
17	так или иначе	2	1
18	не в том	2	1
19	все же не	1	1
20	и не случайно	1	1
21	более или менее	1	1
22	как нам представляется	1	1
23	что для него	1	1
24	верно и то	1	1
25	у него уже	1	1
26	между тем в	1	1
27	нет и быть	1	1
28	не впадая в	1	1
29	и в то	1	1
30	же время не	1	1
31	в первую очередь	2	1
32	с тем что	1	1
33	о нем но	1	1
34	в данное время	1	1
35	на то что	2	1
36	в частности с	1	1
37	и быть не	1	1
38	друг с другом	1	1
39	в данном случае	1	1
40	но в то	3	1
41	не только в	2	1
42	с одной стороны	1	1
43	на первый взгляд	1	1
