N	3gram	Bakhtin_KF_1	Myshleni
1	в том что	2	17
2	вместе с тем	1	10
3	для того чтобы	1	7
4	в зависимости от	1	5
5	тем не менее	2	5
6	что и в	1	5
7	и того же	1	4
8	смысле этого слова	1	4
9	во всяком случае	1	4
10	одного и того	1	4
11	независимо от того	1	3
12	на то что	1	3
13	оба эти момента	2	2
14	мы никогда не	1	2
15	по отношению к	22	2
16	в этом смысле	3	2
17	и в этом	3	2
18	только в том	1	2
19	могло бы возникнуть	1	2
20	и то что	1	2
21	включает в себя	2	2
22	в известном смысле	1	2
23	не может быть	11	2
24	того или иного	3	2
25	в свою очередь	1	2
26	само по себе	1	2
27	той или иной	2	2
28	для нас важно	2	1
29	ничем не отличаются	1	1
30	даже там где	1	1
31	он имеет дело	1	1
32	это нисколько не	1	1
33	какого бы то	1	1
34	то же самое	1	1
35	влечет за собой	1	1
36	с точки зрения	9	1
37	момент во всем	1	1
38	хотя бы и	1	1
39	и содержание и	1	1
40	не отличаются от	1	1
41	может возникнуть и	1	1
42	по отношению ко	4	1
43	бы то ни	2	1
44	с ним в	1	1
45	между тем как	3	1
46	во всех этих	2	1
47	и менее всего	1	1
48	тогда когда он	1	1
49	ни в каком	2	1
50	может быть распространено	1	1
51	как если бы	1	1
52	ту или иную	1	1
53	но все они	1	1
54	здесь мы видим	1	1
55	та же мысль	1	1
56	не потому что	1	1
57	то ни было	2	1
58	именно в этой	1	1
59	слова и его	1	1
60	и в его	1	1
61	в значительной степени	1	1
62	всех этих моментов	1	1
63	все эти моменты	1	1
64	не может возникнуть	1	1
65	к той же	1	1
66	и как бы	1	1
67	по себе а	1	1
68	раз и навсегда	2	1
69	мы не можем	1	1
70	решения этой задачи	1	1
71	а следовательно ни	1	1
72	мы будем говорить	1	1
73	но все эти	3	1
74	и не потому	1	1
75	здесь мы имеем	2	1
76	к тому что	1	1
77	если бы оно	1	1
78	всех этих случаях	1	1
79	и в результате	1	1
80	и абстрактному мышлению	1	1
81	со всеми своими	1	1
82	могло бы быть	1	1
