N	2gram	Vygotskiy__3	Analitik
1	не только	12	22
2	и в	38	18
3	как и	8	14
4	так и	1	14
5	в этом	13	14
6	и его	6	13
7	но и	5	13
8	том что	14	12
9	в качестве	2	12
10	и не	10	12
11	в частности	1	12
12	при этом	4	11
13	то есть	15	10
14	а в	7	10
15	как бы	14	10
16	что в	20	9
17	может быть	19	9
18	со стороны	2	9
19	а не	7	9
20	в том	25	9
21	со своей	2	8
22	с его	1	8
23	и даже	4	8
24	в первой	2	8
25	в русской	2	7
26	как раз	8	7
27	в его	5	7
28	с другой	7	7
29	но не	1	7
30	еще не	1	6
31	в этой	13	6
32	он не	6	6
33	в их	1	6
34	не в	12	6
35	к тому	6	6
36	для него	2	6
37	о том	6	6
38	в начале	1	6
39	того же	3	5
40	той же	2	5
41	мы имеем	1	5
42	как нам	1	5
43	в самом	25	5
44	в слове	1	5
45	однако в	1	5
46	в сущности	10	5
47	что и	4	5
48	между тем	7	5
49	уже не	2	5
50	в конце	2	5
51	никогда не	4	5
52	в свою	4	5
53	не является	1	5
54	в результате	1	5
55	другой стороны	5	5
56	представляет собой	2	5
57	и на	6	4
58	столь же	2	4
59	что он	11	4
60	отнюдь не	2	4
61	в своем	5	4
62	и как	8	4
63	что по	3	4
64	и к	3	4
65	таким образом	12	4
66	в итоге	1	4
67	состоит в	3	4
68	тем самым	1	4
69	в одном	8	4
70	свою очередь	2	4
71	внимание на	2	4
72	можно сказать	1	4
73	не есть	1	4
74	далеко не	3	4
75	о чем	1	4
76	в данном	2	4
77	все же	8	4
78	перед нами	8	4
79	едва ли	3	3
80	по его	3	3
81	мы не	5	3
82	в целом	4	3
83	здесь не	3	3
84	но как	2	3
85	что они	4	3
86	как говорит	1	3
87	как в	4	3
88	с этим	8	3
89	из этих	3	3
90	роль в	1	3
91	тому же	1	3
92	литературных произведений	1	3
93	подобно тому	1	3
94	то же	10	3
95	не будет	1	3
96	его в	3	3
97	точки зрения	16	3
98	не столько	1	3
99	все это	3	3
100	в то	3	3
101	дело не	2	3
102	только не	1	3
103	ничего не	2	3
104	указывает на	6	3
105	с ее	2	3
106	в ее	7	3
107	данном случае	2	3
108	мысль о	1	3
109	именно в	1	3
110	было бы	12	3
111	дело с	1	3
112	этом отношении	1	3
113	были бы	3	3
114	еще и	2	3
115	что не	3	3
116	не было	1	3
117	однако и	2	3
118	он и	1	3
119	вступает в	1	3
120	как это	6	3
121	пока еще	1	3
122	к этому	3	3
123	во сне	1	3
124	отношения к	2	2
125	например в	2	2
126	самом деле	21	2
127	мере в	1	2
128	в первом	1	2
129	по преимуществу	2	2
130	в литературу	1	2
131	есть не	1	2
132	на себя	1	2
133	целого в	1	2
134	и он	1	2
135	в ней	15	2
136	не от	1	2
137	во всех	4	2
138	со всеми	2	2
139	в общем	2	2
140	очевидно что	2	2
141	отличие от	1	2
142	это и	1	2
143	к третьему	1	2
144	как к	2	2
145	и той	2	2
146	нам кажется	1	2
147	когда он	4	2
148	могли бы	5	2
149	и каждое	1	2
150	но в	3	2
151	все эти	4	2
152	в тех	4	2
153	в себе	4	2
154	не могла	2	2
155	так сказать	5	2
156	на его	1	2
157	что она	16	2
158	в нем	4	2
159	не как	1	2
160	и вот	2	2
161	о его	1	2
162	одной и	2	2
163	и по	2	2
164	могла бы	3	2
165	по два	1	2
166	это не	1	2
167	в жизни	1	2
168	а вот	1	2
169	в них	3	2
170	о которых	9	2
171	с тем	8	2
172	несмотря на	5	2
173	иначе говоря	5	2
