N	3gram	Bakhtin_Pr_1	Vladivir
1	в том что	3	9
2	в связи с	1	8
3	в то время	1	6
4	тем не менее	3	6
5	дело в том	1	3
6	с точки зрения	6	3
7	в отличие от	5	3
8	в то же	3	3
9	не в том	1	3
10	то же время	3	3
11	хотя и не	1	2
12	не говоря уже	1	2
13	на то что	1	2
14	в настоящее время	1	2
15	в том же	2	2
16	на первый план	2	2
17	можно было бы	3	2
18	говоря уже о	1	2
19	кроме того и	1	2
20	в данном случае	4	2
21	не только в	2	2
22	в свою очередь	1	2
23	а в том	1	2
24	и как мы	1	2
25	и в его	1	2
26	что иное как	1	1
27	во что бы	1	1
28	имеет дело с	4	1
29	в какой мере	2	1
30	ни к чему	1	1
31	то ни стало	1	1
32	оно может быть	1	1
33	а не с	1	1
34	и в частности	2	1
35	равно как и	1	1
36	также и в	1	1
37	до сих пор	1	1
38	и в то	2	1
39	бы то ни	3	1
40	при этом в	1	1
41	не было бы	1	1
42	в этом отношении	2	1
43	то что в	1	1
44	на нее и	1	1
45	в нем он	1	1
46	на этот вопрос	1	1
47	едва ли может	1	1
48	и не в	1	1
49	и в области	2	1
50	можно говорить и	2	1
51	и тем не	1	1
52	может быть и	1	1
53	что бы то	1	1
54	до известной степени	1	1
55	и в них	2	1
56	но в то	1	1
57	в высшей степени	5	1
58	а также и	1	1
59	в том как	1	1
60	не могли быть	1	1
61	и как бы	1	1
62	то время как	1	1
63	его отношение к	1	1
64	только в таком	1	1
65	и в том	1	1
66	не может быть	11	1
67	в свое время	1	1
68	в государстве и	1	1
69	по себе не	1	1
70	что и здесь	1	1
71	представителей так называемого	1	1
72	далеко не все	1	1
73	во всех своих	2	1
74	которой не было	1	1
75	и в свою	1	1
76	раз и навсегда	1	1
77	в тех же	1	1
78	к чему не	1	1
79	что в его	1	1
80	прежде всего от	1	1
81	к выводу что	1	1
82	и прежде всего	5	1
83	в самом деле	3	1
84	миру и к	1	1
85	можно сказать что	2	1
86	к нему с	1	1
87	в этом смысле	3	1
88	как мы уже	1	1
89	конечно не в	1	1
90	не что иное	1	1
91	и в нем	3	1
92	для того чтобы	2	1
93	является как бы	1	1
94	и т д	1	1
